"hospital_no","course_no","item_category_dai_no","item_category_chu_no","item_category_sho_no","select_status","inputstring","rgst","updt","created_id","updated_id"
"2","1","1","1","1","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","1","1","2","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","3","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","4","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","5","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","6","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","7","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","2","332","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","3","8","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","3","9","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","3","10","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","3","11","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","2","3","354","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","12","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","13","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","14","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","15","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","16","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","17","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","18","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","19","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","20","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","21","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","22","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","23","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","24","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","25","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","26","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","316","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","351","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","352","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","4","353","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","27","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","28","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","29","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","30","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","31","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","32","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","33","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","34","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","5","340","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","6","35","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","6","36","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","6","37","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","6","341","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","7","38","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","7","39","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","7","40","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","7","41","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","7","329","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","8","42","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","9","43","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","9","44","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","45","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","46","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","47","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","48","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","49","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","50","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","51","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","52","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","53","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","54","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","10","333","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","55","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","56","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","57","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","317","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","320","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","3","11","338","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","12","58","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","12","59","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","12","60","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","12","61","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","12","334","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","62","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","63","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","64","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","65","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","66","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","67","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","321","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","13","327","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","68","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","69","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","70","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","71","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","72","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","73","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","14","323","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","74","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","75","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","76","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","77","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","78","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","79","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","80","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","81","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","82","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","15","328","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","16","83","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","16","84","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","4","16","85","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","5","17","86","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","5","17","87","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","5","17","88","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","5","17","89","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","5","17","350","0",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
"2","1","6","18","90","1",,"2018-10-19 14:43:43","2018-10-19 14:43:43","B37396","B37396"
