"hospital_no","hospital_time_no","start","end","mon","tue","wed","thu","fry","sat","sun","hol","status","rgst","updt","created_id","updated_id"
"2","1","09:00","17:00","1","1","1","1","1","0","0","0","1","2017-07-31 10:51:10","2019-01-24 13:08:05","epkdoc01","epkdoc01"
"2","2",,,"0","0","0","0","0","0","0","0","1","2017-07-31 10:51:10","2019-01-24 13:08:05","epkdoc01","epkdoc01"
"2","3",,,"0","0","0","0","0","0","0","0","1","2017-07-31 10:51:10","2019-01-24 13:08:05","epkdoc01","epkdoc01"
"2","4",,,"0","0","0","0","0","0","0","0","1","2017-07-31 10:51:10","2019-01-24 13:08:05","epkdoc01","epkdoc01"
"20000","1","08:30","18:00","1","0","1","1","1","1","0","1","1","2017-08-16 09:27:35","2019-07-03 01:58:35","epkdoc01","eparkdock"
"20000","2",,,"0","0","0","0","0","0","0","0","1","2017-08-16 09:27:35","2019-07-03 01:58:35","epkdoc01","eparkdock"
"20000","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 09:27:35","2019-07-03 01:58:35","epkdoc01","eparkdock"
"20000","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 09:27:35","2019-07-03 01:58:35","epkdoc01","eparkdock"
"20001","1","15:00","18:00","0","1","0","1","0","1","0","0","1","2017-08-15 20:22:46","2018-11-21 13:48:55","epkdoc01","epkdoc01"
"20001","2",,,"0","0","0","0","0","0","0","0","1","2017-08-15 20:22:46","2018-11-21 13:48:55","epkdoc01","epkdoc01"
"20001","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 20:22:46","2018-11-21 13:48:55","epkdoc01","epkdoc01"
"20001","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 20:22:46","2018-11-21 13:48:55","epkdoc01","epkdoc01"
"20002","1","09:00","12:30","1","1","1","1","1","0","0","0","1","2017-08-17 11:02:33","2018-12-03 12:41:59","epkdoc01","epkdoc01"
"20002","2","15:00","18:30","1","0","1","0","1","0","0","0","1","2017-08-17 11:02:33","2018-12-03 12:41:59","epkdoc01","epkdoc01"
"20002","3","15:00","16:30","0","1","0","1","0","0","0","0","1","2017-08-17 11:02:34","2018-12-03 12:41:59","epkdoc01","epkdoc01"
"20002","4","09:00","14:30","0","0","0","0","0","1","0","0","1","2017-08-17 11:02:34","2018-12-03 12:41:59","epkdoc01","epkdoc01"
"20003","1","09:00","18:00","1","1","1","1","1","1","0","0","1","2017-08-05 16:52:08","2019-02-01 11:04:06","epkdoc01","epkdoc01"
"20003","2",,,"0","0","0","0","0","0","0","0","1","2017-08-05 16:52:08","2019-02-01 11:04:06","epkdoc01","epkdoc01"
"20003","3",,,"0","0","0","0","0","0","0","0","1","2017-08-05 16:52:08","2019-02-01 11:04:07","epkdoc01","epkdoc01"
"20003","4",,,"0","0","0","0","0","0","0","0","1","2017-08-05 16:52:08","2019-02-01 11:04:07","epkdoc01","epkdoc01"
"20005","1","08:30","17:30","1","1","1","1","1","1","0","0","1","2017-08-09 11:18:18","2018-09-07 14:18:33","epkdoc01","epkdoc01"
"20005","2",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2018-09-07 14:18:33","epkdoc01","epkdoc01"
"20005","3",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2018-09-07 14:18:33","epkdoc01","epkdoc01"
"20005","4",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2018-09-07 14:18:33","epkdoc01","epkdoc01"
