"item_category_dai_no","iten_type_no","name","status","order","flg_icon","icon_name","rgst","updt","created_id","updated_id"
"1","3","健診対応","1","1","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"2","3","基本検査","1","2","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"3","3","血液検査","1","3","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"4","3","画像診断","1","4","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"5","3","内視鏡検査","1","5","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"6","3","その他","1","6","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"11","2","検査コース特徴アイコン表示","1","1","0",,"2017-06-21 17:33:13","2017-08-18 10:23:32",,"epkdoc01"
"12","1","おすすめ","X","12","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"13","1","検査種別","1","2","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"14","1","検索条件","1","1","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"15","1","所要時間","1","3","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"16","1","検査開始時間","1","4","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"17","1","宿泊","1","5","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"18","1","食事","1","6","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"19","1","結果説明（面談）","1","8","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"20","1","土曜・日曜　検査","1","9","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"21","1","女性医師・女性技師対応","X","13","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"22","1","専門医対応","X","14","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"23","1","検査実施件数","X","11","0",,"2017-06-21 17:33:13","2019-04-06 05:39:34",,"eparkdock"
"24","5","こんな方におすすめ","1","1","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"25","4","対象となる主な疾患","1","1","0",,"2017-06-21 17:33:13","2017-06-21 17:33:13",,
"26","1","事前郵送物","X","10","0",,"2018-02-01 13:21:10","2019-04-06 05:39:34","epkdoc01","eparkdock"
"27","1","事前郵送物","X","7","0",,"2018-02-01 13:24:56","2019-04-06 05:39:34","epkdoc01","eparkdock"
