"pref_no","name","area_no","order","status","rgst","updt","created_id","updated_id"
"1","北海道","1","1","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"2","青森県","2","2","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"3","岩手県","2","3","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"4","宮城県","2","4","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"5","秋田県","2","5","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"6","山形県","2","6","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"7","福島県","2","7","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"8","茨城県","3","8","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"9","栃木県","3","9","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"10","群馬県","3","10","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"11","埼玉県","3","11","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"12","千葉県","3","12","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"13","東京都","3","13","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"14","神奈川県","3","14","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"15","新潟県","4","15","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"16","富山県","4","16","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"17","石川県","4","17","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"18","福井県","4","18","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"19","山梨県","4","19","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"20","長野県","4","20","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"21","岐阜県","4","21","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"22","静岡県","4","22","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"23","愛知県","4","23","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"24","三重県","5","24","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"25","滋賀県","5","25","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"26","京都府","5","26","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"27","大阪府","5","27","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"28","兵庫県","5","28","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"29","奈良県","5","29","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"30","和歌山県","5","30","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"31","鳥取県","6","31","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"32","島根県","6","32","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"33","岡山県","6","33","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"34","広島県","6","34","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"35","山口県","6","35","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"36","徳島県","7","36","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"37","香川県","7","37","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"38","愛媛県","7","38","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"39","高知県","7","39","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"40","福岡県","8","40","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"41","佐賀県","8","41","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"42","長崎県","8","42","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"43","熊本県","8","43","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"44","大分県","8","44","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"45","宮崎県","8","45","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"46","鹿児島県","8","46","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
"47","沖縄県","8","47","1","2017-07-07 00:00:00","2017-07-07 00:00:00","batch","batch"
