"item_category_dai_no","item_category_chu_no","name","order","flg_icon","icon_name","status","rgst","updt","created_id","updated_id"
"1","1","アクセスについて","1","1","アクセスについて","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","2","クレジットカード対応","2","1","クレジットカード対応","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","3","外国語対応","3","1","外国語対応","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","4","認定施設について","4","1","認定施設について","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","5","女性対応","5","1","女性対応","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","6","お子さま対応","6","1","お子さま対応","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","7","施設について","7","1","施設について","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","8","食事について","8","1","食事について","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","9","併用施設について","9","1","併用施設について","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","10","周辺施設について","10","1","周辺施設について","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","11","プライバシー配慮","11","1","プライバシー配慮","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
"1","12","検査結果","12","1","検査結果","1","2017-06-09 00:00:00","2017-06-09 00:00:00",,
