"rail","station","status","register","updater","rgst","updt","created_id","updated_id"
"1","1234","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1235","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1236","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1237","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1238","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1239","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1240","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1241","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1242","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1243","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1244","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1245","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1246","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1247","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1248","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1249","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1250","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1251","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1252","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1253","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1254","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1255","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1256","X","0","0","2014-08-08 04:50:02","2014-08-08 04:50:02","batch","batch"
"1","1257","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1258","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1259","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1260","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1261","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"1","1262","1","0","0","2014-08-08 04:50:02","2017-06-29 12:03:03","batch","batch"
"2","1241","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1247","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1263","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1264","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1265","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1266","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1267","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1268","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1269","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1270","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"2","1271","1","0","0","2014-08-08 04:50:12","2017-06-29 12:03:03","batch","batch"
"3","1262","1","0","0","2014-08-08 04:50:23","2017-06-29 12:03:03","batch","batch"
