"hospital_no","course_no","reservation_dt","timezone_id","line_name","line_id","order_no","appoint_status","appoint_number","reservation_frames","holiday","status","rgst","updt","created_id","updated_id"
"20113","21467","20180425","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180426","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180427","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180428","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180429",,,,,"3","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180430","1","1",,,"2","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180501","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180502","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180503","1","1",,,"2","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180504","1","1",,,"2","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180505","1","1",,,"2","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180506",,,,,"3","0","0","1","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20180507","1","1",,,"2","0","0","0","1","2018-04-25 10:51:47","2018-04-25 10:51:47","batch","batch"
"20113","21467","20190522","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190523","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190524","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190525","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190526",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190527","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190528","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190529","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-22 16:01:13",,
"20113","21467","20190530","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-30 19:23:57",,
"20113","21467","20190531","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-05-31 02:58:28",,
"20113","21467","20190601","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-01 03:05:46",,
"20113","21467","20190602",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-06-02 03:02:52",,
"20113","21467","20190603","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-03 03:05:12",,
"20113","21467","20190604","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-04 03:06:17",,
"20113","21467","20190605","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-05 03:04:59",,
"20113","21467","20190606","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-06 14:40:25",,
"20113","21467","20190607","1","8","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-07 03:01:07",,
"20113","21467","20190608","1","232","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-08 02:59:02",,
"20113","21467","20190609",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-06-09 03:01:04",,
"20113","21467","20190610",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-10 02:59:11",,
"20113","21467","20190611",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-11 12:10:00",,
"20113","21467","20190612",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-12 02:58:34",,
"20113","21467","20190613","1","65","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-13 03:01:27",,
"20113","21467","20190614","1","67","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-14 03:01:35",,
"20113","21467","20190615",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-15 12:27:22",,
"20113","21467","20190616",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-06-16 03:03:24",,
"20113","21467","20190617",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-17 03:00:43",,
"20113","21467","20190618",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-18 03:02:11",,
"20113","21467","20190619","1","172","1",,"2","0","0","0","1","2019-05-22 16:01:13","2019-06-19 16:21:35",,
"20113","21467","20190620",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-20 12:26:09",,
"20113","21467","20190621",,,"1",,"3","0","0","0","1","2019-05-22 16:01:13","2019-06-20 12:26:09",,
"20113","21467","20190622","1","79","1","1","0","0","1","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190623",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190624","1","175","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190625","1","176","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190626","1","177","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190627","1","178","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190628","1","179","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190629","1","91","1","1","0","0","1","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190630",,,"1",,"3","0","0","1","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190701","1","180","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190702","1","181","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
"20113","21467","20190703","1","182","1","1","0","0","2","0","1","2019-05-22 16:01:13","2019-06-20 11:15:29",,
