"hospital_no","course_no","reservation_dt","timezone_id","line_name","line_id","order_no","appoint_status","appoint_number","reservation_frames","holiday","status","rgst","updt","created_id","updated_id"
"20000","20031","20200901",,,"12",,"3","0","0","0","1","2019-11-26 10:06:27","2019-11-26 10:06:27",,
"20000","20031","20200902",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200903",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200904",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200905",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200906",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200907",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200908",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200909",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200910",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200911",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200912",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200913",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200914",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200915",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200916",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200917",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200918",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200919",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200920",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200921",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200922",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200923",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200924",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200925",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200926",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200927",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200928",,,"12",,"3","0","0","1","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200929",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20031","20200930",,,"12",,"3","0","0","0","1","2019-11-26 10:06:28","2019-11-26 10:06:28",,
"20000","20032","20200901",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200902",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200903",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200904",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200905",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200906",,,"13",,"3","0","0","1","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200907",,,"13",,"3","0","0","1","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200908",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200909",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200910",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200911",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200912",,,"13",,"3","0","0","0","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200913",,,"13",,"3","0","0","1","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200914",,,"13",,"3","0","0","1","1","2019-11-26 10:06:30","2019-11-26 10:06:30",,
"20000","20032","20200915",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200916",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200917",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200918",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200919",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200920",,,"13",,"3","0","0","1","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200921",,,"13",,"3","0","0","1","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200922",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200923",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200924",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200925",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200926",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200927",,,"13",,"3","0","0","1","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200928",,,"13",,"3","0","0","1","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200929",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20032","20200930",,,"13",,"3","0","0","0","1","2019-11-26 10:06:31","2019-11-26 10:06:31",,
"20000","20033","20200901",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200902",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200903",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200904",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200905",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200906",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200907",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200908",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200909",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200910",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200911",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200912",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200913",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200914",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200915",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200916",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200917",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200918",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200919",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200920",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200921",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200922",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200923",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200924",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200925",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200926",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200927",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200928",,,"13",,"3","0","0","1","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200929",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20033","20200930",,,"13",,"3","0","0","0","1","2019-11-26 10:06:33","2019-11-26 10:06:33",,
"20000","20034","20200901",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200902",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200903",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200904",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200905",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200906",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200907",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200908",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200909",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200910",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200911",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200912",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200913",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200914",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200915",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200916",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200917",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200918",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200919",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200920",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200921",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200922",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200923",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200924",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200925",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200926",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200927",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200928",,,"13",,"3","0","0","1","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200929",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20034","20200930",,,"13",,"3","0","0","0","1","2019-11-26 10:06:36","2019-11-26 10:06:36",,
"20000","20035","20200901",,,"13",,"3","0","0","0","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
"20000","20035","20200902",,,"13",,"3","0","0","0","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
"20000","20035","20200903",,,"13",,"3","0","0","0","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
"20000","20035","20200904",,,"13",,"3","0","0","0","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
"20000","20035","20200905",,,"13",,"3","0","0","0","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
"20000","20035","20200906",,,"13",,"3","0","0","1","1","2019-11-26 10:06:39","2019-11-26 10:06:39",,
