"plan_cd","plan_name","fee_rate","monthly_contract_fee","rgst","updt","created_id","updated_id"
"01","からだドックn　Aコース","10","2900","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"02","からだドックn　Bコース","9","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"03","からだドックn　Cコース","12","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"04","からだドックn　コース10","10","2900","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"05","からだドックn　コース12","12","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"07","からだドックn　コース10 HPリンクオプション","10","2900","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"08","からだドックn　コース12 HPリンクオプション","12","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"09","からだドックn　コース8","8","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"10","EPARK人間ドックn　コース10","10","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"11","EPARK人間ドックn　コース10（HPL）","10","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"12","EPARK人間ドックn　コース12","12","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"13","EPARK人間ドックn　コース12（HPL）","12","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"14","EPARK人間ドックn　コース8","8","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"15","EPARK人間ドックn　コース8（HPL）","8","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"16","EPARK人間ドックn　コース5","5","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"17","EPARK人間ドックn　コース5（HPL）","5","0","2017-07-31 00:00:00","2017-07-31 00:00:00","IMPORT","IMPORT"
"18","人間ドック　コース5+HPリンク","5","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"19","人間ドック　コース8+HPリンク","8","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"20","人間ドック　コース10+HPリンク","10","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"21","人間ドック　コース12+HPリンク","12","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"22","人間ドック　コース5","5","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"23","人間ドック　コース8","8","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"24","人間ドック　コース10","10","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"25","人間ドック　コース12","12","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"26","コースV","5","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
"27","コースL","5","0","2018-06-13 00:00:00","2018-06-13 00:00:00","IMPORT","IMPORT"
