"hospital_no","course_no","code","name","web_reception","calender","flg_category","course_sales_copy","course_point","course_notice","course_cancel","flg_price","price","flg_price_memo","price_memo","price_2","price_3","tax_class","display_setting","status","pv","pvad","order","rgst","updt","created_id","updated_id","pre_account_price","flg_local_payment","flg_pre_account","auto_calc_application"
"20000","20000","DC20000","【ドクネット開設記念！】グランドコース（がん総合+脳ドック）+心臓MRI","1","0","0",,"がん/脳疾患をしっかり検査するグランドコースに心臓MRIを加えた検査です。

PET/CT、MRI、エコー、腫瘍マーカーを含む血液検査などのがん総合コースに脳MRI/MRA、頸動脈エコー検査の脳ドックを統合したプランです。
超音波診断装置を用いて、女性には乳腺エコー検査、男性には前立腺エコー検査を実施します。

更に、当院で新規に導入した、心臓解析機能を付けたMRI装置を使用する検査も実施します。
冠動脈の病変を調べ、心筋梗塞などのリスク、心臓肥大の有無や早期発見を目指します。

当日、医師によるPET/CT・MRI・超音波などの画像診断結果を基にした結果面談を行います。
心臓MRIは、別日での実施となります（金曜日のみ受診可能）",,,"1","372600","0",,"0","0","0","0","X","0","0","7","2017-08-01 00:00:00","2017-09-04 17:02:32","system",,,"1","0","1"
"20000","20001","DC20001","【開設記念】シンプル脳ドック+心臓MRI","1","0","0",,"脳のMRI・MRA検査と心臓MRI検査を行います。MRI/MRAで、小さな脳梗塞、脳腫瘍、くも膜下出血、脳動脈瘤など、脳の病気の早期発見を目指しています。心臓MRIは、当院で新規に導入した、心臓解析機能を付けたMRI装置を使用する検査となります。冠動脈（心臓の筋肉への栄養血管）の病変を調べ、心筋梗塞などのリスクの早期発見を目指します。また、心臓肥大の有無や、弁・壁の動きなどの観察も行います。脳ドックの検査結果は、後日、詳細な報告書を送付いたします。※脳ドック（火～土曜、11～12時台）と心臓MRI（金曜、14～16時台）は、別日での実施となります。",,"0","1","118800","0",,"118800","118800","0","1","X","0","0","13","2017-08-01 00:00:00","2017-09-04 17:04:28","system",,,"1","0","1"
"20000","20002","DC20002","【法人化記念／3月末まで】西台PET-CT+脳ドック（腫瘍マーカー付）","1","3","0",,"◆西台クリニックの法人化を記念し、人気の西台PET-CTとシンプル脳ドックを組み合わせたコースです。

◆PET-CT検査で、がんの有無及び進行具合を詳しく調べ、頭部MRI・MRA検査、頸動脈エコーなどの検査で、動脈硬化（脳梗塞などの原因）の進行度などを調べます。
腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行います。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付します。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","118800","0",,"0","0","0","0","X","0","0","10","2017-08-01 00:00:00","2019-06-06 10:43:02","system",,,"1","0","1"
"20000","20003","DC20003","【Web限定11％割引】PET/CTコース（腫瘍マーカー付）","1","0","0",,"PET／CTを用いて全身のがん細胞を2.5時間で調べることが出来ます。

尿・血液検査（腫瘍マーカーも含む）も同時に行い、検査精度を高めております。
読影は日本核医学会認定核医学専門医が担当し、検査の精度を高めるため、医師2名でダブルチェックをします。
後日、詳細な報告書を送付いたします。",,"0","1","129600","0",,"129600","129600","0","1","X","0","0","12","2017-08-01 00:00:00","2017-09-04 17:04:16","system",,,"1","0","1"
"20000","20004","DC20004","【三大生活習慣病チェック】心臓・グランドコース（がん・脳・心臓）","1","0","0",,"◆1日で検査終了◆

がん・脳疾患をしっかり検査するグランドコースに、心臓ドックを加え、面談を含めて1日で終了する心臓グランドコースです。

PET/CT、エコー、腫瘍マーカー（男性7、女性8種）を含む血液検査などのがん総合コースに、脳MRI/MRA、頚動脈エコー検査と、心臓MRI検査を行います。

当院で新規に導入した、心臓解析機能を付けたMRI装置を使用する検査となります。
冠動脈（心臓の筋肉への栄養血管）の病変を調べ、心筋梗塞などのリスクの早期発見を目指します。
また、心臓肥大の有無や、弁・壁の動きなどの観察も行います。

当日、医師によるPET/CT・MRI・超音波などの画像診断結果を基にした結果面談を行います。

※アレルギー検査（15,000円+税）をオプションサービス",,"0","1","383400","0",,"383400","383400","0","1","X","0","0","11","2017-08-01 00:00:00","2017-09-04 17:04:04","system",,,"1","0","1"
"20000","20005","DC20005","【Web限定ペア26％割】PET/CT+脳　腫瘍マーカー付","1","0","0",,"PET/CT検査で、がんの有無及び進行具合を調べ、頭部MRI・MRA検査、頸動脈エコーなどの検査で頭部の疾患を調べます。

腫瘍マーカー（男性7、女性8種類）も行います。
読影は日本核医学会認定核医学専門医が担当しております。

検査結果は複数の医師で行い、後日、検査結果報告書を郵送します。

※表示価格は、お二人で受診いただいた場合のお二人分の料金です。予約の際は、まず一人分の連絡先を記入し、同行者の情報は備考欄にご記入ください。
※面談をご希望の場合は、別途料金（一人あたり10,800円）にて承ります。",,"0","1","280800","0",,"280800","280800","0","1","X","0","0","10","2017-08-01 00:00:00","2017-09-04 17:03:43","system",,,"1","0","1"
"20000","20006","DC20006","【法人化記念／3月末まで】西台グランドコース（がん総合＋脳ドック）","1","1","0",,"◆「がん/脳疾患」をしっかり検査する西台グランドコースです。

◆PET-CT、MRI、エコー、腫瘍マーカー（男性7、女性8種類）を含む血液検査などのがん総合コースに脳MRI/MRA、頸動脈エコー検査の脳ドックを統合したプランです。

◆超音波診断装置を用いて、女性には乳腺エコー検査、男性には前立腺エコー検査を実施します。

◆密度の高い検査を集中的に行い、約5時間半で終了しますので、遠方から来られる方や時間を大切にする方におすすめです。

◆当日、医師によるPET-CT・MRI・超音波などの画像診断結果を基にした結果面談を行います。
身体に関する日常の疑問点などもご相談下さい。

◆食事について：あり

◆検査結果について：受診後、2～3週間後にご送付致します。",,,"1","248400","0",,"0","0","0","0","X","0","0","14","2017-08-01 00:00:00","2019-06-06 10:45:20","system",,,"1","0","1"
"20000","20007","DC20007","【法人化記念／3月末まで】女性　PET-CT＋MRI＋エコー/がん総合コース","1","3","0",,"◆がんの有無をしっかり調べたい方、PET検査に興味がある方にオススメです

◆PET/CT、MRI、超音波エコー、腫瘍マーカー（8種類）及び血液・尿検査、便潜血検査を効果的に組み合わせ、がんの早期発見を目指すコースです。
PET機能でがんの有無や位置を確認し、CT機能およびMRIにて体幹の病巣・疾患を調べ、エコー検査にて内臓、甲状腺などを診断します。
合わせて、エコーにて、乳房・子宮なども検査します。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","167400","0",,"0","0","0","0","X","0","0","12","2017-08-01 00:00:00","2019-06-06 10:45:56","system",,,"1","0","1"
"20000","20008","DC20008","【法人化記念／3月末まで】男性　PET-CT＋MRI＋エコー/がん総合コース","1","3","0",,"◆がんの有無をしっかり調べたい方、PET検査に興味がある方にオススメです。

◆PET-CT、MRI、超音波エコー、腫瘍マーカー及び血液・尿検査・便潜血検査を効果的に組み合わせ、がんを早期発見を目指すコースです。
PET機能でがんの有無や位置を確認し、CT機能およびMRIにて体幹の病巣・疾患を調べ、エコー検査にて内臓、甲状腺などを診断します。合わせて、前立腺がん検査を行います。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","167400","0",,"0","0","0","0","X","0","0","13","2017-08-01 00:00:00","2019-06-06 10:45:39","system",,,"1","0","1"
"20000","20009","DC20009","PET/CT+経鼻内視鏡+腫瘍マーカー","1","0","0",,"シンプルPET/CTコース（面談なし）に、経鼻内視鏡（胃カメラ）検査をセットにしたコースです。

全身のPET/CT検査で初期段階のがん発見を目指し、早期の胃がん検査は、胃カメラにて行います。
受診者の検査中のご負担を第一に考え、口ではなく鼻から挿入する「経鼻内視鏡」にて行います。
尿・血液検査（腫瘍マーカーも含む）も同時に行い、検査精度を高めております。

後日、詳細な報告書を送付いたします。

※尚、経鼻内視鏡検査は近隣のごんだクリニックにてご受診頂きます（麻酔下内視鏡検査：オプション税込5,000円追加）。基本的に別日のご受診になります。",,"0","1","151200","0",,"151200","151200","0","1","X","0","0","9","2017-08-01 00:00:00","2017-09-04 17:03:30","system",,,"1","0","1"
