"hospital_no","course_no","item_category_dai_no","item_category_chu_no","item_category_sho_no","select_status","inputstring","rgst","updt","created_id","updated_id"
"20113","21467","1","1","1","0",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","1","1","2","0",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","3","1",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","4","0",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","5","1",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","6","1",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","7","1",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","2","332","0",,"2019-06-20 17:21:58","2019-06-20 17:21:58","B37685","B37685"
"20113","21467","2","3","8","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","2","3","9","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","2","3","10","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","2","3","11","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","2","3","354","0",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","12","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","13","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","14","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","15","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","16","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","17","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","18","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","19","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","20","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","21","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","22","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","23","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","24","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","25","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","26","0",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","316","1","ナトリウム／カリウム／クロール／カルシウム","2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","351","0",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","352","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","353","0",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","4","359","0",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","5","27","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","5","28","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","5","29","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
"20113","21467","3","5","30","1",,"2019-06-20 17:21:59","2019-06-20 17:21:59","B37685","B37685"
