"hospital_no","course_no","item_category_dai_no","item_category_chu_no","item_category_sho_no","select_status","inputstring","rgst","updt","created_id","updated_id"
"21606","1","1","1","1","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","1","1","2","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","3","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","4","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","5","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","6","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","7","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","2","332","0",,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","3","8","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","3","9","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","3","10","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","3","11","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","2","3","354","0",,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","12","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","13","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","14","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","15","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","16","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","17","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","18","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","19","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","20","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","21","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","22","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","23","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","24","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","25","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","26","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","316","0",,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","351","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","352","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","353","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","4","359","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","5","27","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","5","28","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
"21606","1","3","5","29","0",NULL,"2020-01-24 11:02:14","2020-01-24 11:02:14","A3211","A3211"
