"hospital_no","course_no","option_group_cd","rgst","updt","created_id","updated_id"
"2","1","2","2020-01-10 14:58:13","2020-01-10 14:58:13","A691","A691"
"2","3","1","2019-02-23 14:19:37","2019-02-23 14:19:37","B37396","B37396"
"2","8","1","2018-09-06 15:26:58","2018-09-06 15:26:58","B37396","B37396"
"2","18","1","2019-02-23 15:16:57","2019-02-23 15:16:57","B37396","B37396"
"2","19","1","2018-09-06 16:18:48","2018-09-06 16:18:48","B37396","B37396"
"2","20","1","2018-09-06 16:15:32","2018-09-06 16:15:32","B37396","B37396"
"2","21","1","2018-09-06 15:08:52","2018-09-06 15:08:52","B37396","B37396"
"2","24","1","2018-09-06 14:42:53","2018-09-06 14:42:53","B37396","B37396"
"2","38","1","2018-11-05 14:24:44","2018-11-05 14:24:44","A2728","A2728"
"2","39","1","2018-12-19 17:20:52","2018-12-19 17:20:52","A2911","A2911"
"2","43","4","2019-02-28 16:52:54","2019-02-28 16:52:54","B37396","B37396"
"2","44","4","2019-02-23 15:11:49","2019-02-23 15:11:49","B37396","B37396"
"2","50","19","2019-09-19 04:57:19","2019-09-19 04:57:19","A2911","A2911"
"2","51","1","2019-07-25 04:18:17","2019-07-25 04:18:17","A691","A691"
"2","52","1","2019-07-25 04:19:14","2019-07-25 04:19:14","A691","A691"
"2","54","19","2019-09-19 04:53:49","2019-09-19 04:53:49","A2911","A2911"
"2","54","20","2019-09-19 04:53:49","2019-09-19 04:53:49","A2911","A2911"
"20000","20017","1","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","2","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","3","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","4","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","5","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","6","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20017","7","2019-09-24 08:41:15","2019-09-24 08:41:15","B37663","B37663"
"20000","20018","1","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","2","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","3","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","4","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","5","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","6","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","7","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20018","8","2019-09-24 08:41:33","2019-09-24 08:41:33","B37663","B37663"
"20000","20019","1","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","2","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","3","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","4","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","5","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","6","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20019","7","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
