"hospital_no","course_no","flg_qa_no","flg_qa","flg_qa_title","flg_qa_answer01","flg_qa_answer02","flg_qa_answer03","flg_qa_answer04","flg_qa_answer05","flg_qa_answer06","flg_qa_answer07","flg_qa_answer08","flg_qa_answer09","flg_qa_answer10","rgst","updt","created_id","updated_id"
"2","1","1","0","質問事項タイトル","回答1","回答2","回答3",,,,,,,,"2018-10-19 14:43:44","2018-10-19 14:43:44","B37396","B37396"
"2","1","2","1",,,,,,,,,,,,"2018-10-19 14:43:44","2018-10-19 14:43:44","B37396","B37396"
"2","1","3","1",,,,,,,,,,,,"2018-10-19 14:43:44","2018-10-19 14:43:44","B37396","B37396"
"2","1","4","1",,,,,,,,,,,,"2018-10-19 14:43:44","2018-10-19 14:43:44","B37396","B37396"
"2","1","5","1",,,,,,,,,,,,"2018-10-19 14:43:44","2018-10-19 14:43:44","B37396","B37396"
"2","2","1","1",,,,,,,,,,,,"2018-10-19 14:51:46","2018-10-19 14:51:46","B37396","B37396"
"2","2","2","1",,,,,,,,,,,,"2018-10-19 14:51:46","2018-10-19 14:51:46","B37396","B37396"
"2","2","3","1",,,,,,,,,,,,"2018-10-19 14:51:46","2018-10-19 14:51:46","B37396","B37396"
"2","2","4","1",,,,,,,,,,,,"2018-10-19 14:51:46","2018-10-19 14:51:46","B37396","B37396"
"2","2","5","1",,,,,,,,,,,,"2018-10-19 14:51:46","2018-10-19 14:51:46","B37396","B37396"
"2","3","1","1",,,,,,,,,,,,"2018-10-19 14:50:58","2018-10-19 14:50:58","B37396","B37396"
"2","3","2","1",,,,,,,,,,,,"2018-10-19 14:50:58","2018-10-19 14:50:58","B37396","B37396"
"2","3","3","1",,,,,,,,,,,,"2018-10-19 14:50:58","2018-10-19 14:50:58","B37396","B37396"
"2","3","4","1",,,,,,,,,,,,"2018-10-19 14:50:58","2018-10-19 14:50:58","B37396","B37396"
"2","3","5","1",,,,,,,,,,,,"2018-10-19 14:50:58","2018-10-19 14:50:58","B37396","B37396"
"2","4","1","1",,,,,,,,,,,,"2017-09-28 17:42:25","2017-09-28 17:42:25","A1597","A1597"
"2","4","2","1",,,,,,,,,,,,"2017-09-28 17:42:25","2017-09-28 17:42:25","A1597","A1597"
"2","4","3","1",,,,,,,,,,,,"2017-09-28 17:42:25","2017-09-28 17:42:25","A1597","A1597"
"2","4","4","1",,,,,,,,,,,,"2017-09-28 17:42:25","2017-09-28 17:42:25","A1597","A1597"
"2","4","5","1",,,,,,,,,,,,"2017-09-28 17:42:25","2017-09-28 17:42:25","A1597","A1597"
"2","5","1","1",,,,,,,,,,,,"2017-11-30 18:06:10","2017-11-30 18:06:10","B37396","B37396"
"2","5","2","1",,,,,,,,,,,,"2017-11-30 18:06:10","2017-11-30 18:06:10","B37396","B37396"
"2","5","3","1",,,,,,,,,,,,"2017-11-30 18:06:10","2017-11-30 18:06:10","B37396","B37396"
"2","5","4","1",,,,,,,,,,,,"2017-11-30 18:06:10","2017-11-30 18:06:10","B37396","B37396"
"2","5","5","1",,,,,,,,,,,,"2017-11-30 18:06:10","2017-11-30 18:06:10","B37396","B37396"
"2","6","1","1",,,,,,,,,,,,"2017-11-30 18:08:12","2017-11-30 18:08:12","B37396","B37396"
"2","6","2","1",,,,,,,,,,,,"2017-11-30 18:08:12","2017-11-30 18:08:12","B37396","B37396"
"2","6","3","1",,,,,,,,,,,,"2017-11-30 18:08:12","2017-11-30 18:08:12","B37396","B37396"
"2","6","4","1",,,,,,,,,,,,"2017-11-30 18:08:12","2017-11-30 18:08:12","B37396","B37396"
"2","6","5","1",,,,,,,,,,,,"2017-11-30 18:08:12","2017-11-30 18:08:12","B37396","B37396"
"2","7","1","1",,,,,,,,,,,,"2018-09-06 15:00:04","2018-09-06 15:00:04","B37396","B37396"
"2","7","2","1",,,,,,,,,,,,"2018-09-06 15:00:04","2018-09-06 15:00:04","B37396","B37396"
"2","7","3","1",,,,,,,,,,,,"2018-09-06 15:00:04","2018-09-06 15:00:04","B37396","B37396"
"2","7","4","1",,,,,,,,,,,,"2018-09-06 15:00:04","2018-09-06 15:00:04","B37396","B37396"
"2","7","5","1",,,,,,,,,,,,"2018-09-06 15:00:04","2018-09-06 15:00:04","B37396","B37396"
"2","8","1","1",,,,,,,,,,,,"2018-09-06 15:26:59","2018-09-06 15:26:59","B37396","B37396"
"2","8","2","1",,,,,,,,,,,,"2018-09-06 15:26:59","2018-09-06 15:26:59","B37396","B37396"
"2","8","3","1",,,,,,,,,,,,"2018-09-06 15:26:59","2018-09-06 15:26:59","B37396","B37396"
"2","8","4","1",,,,,,,,,,,,"2018-09-06 15:26:59","2018-09-06 15:26:59","B37396","B37396"
"2","8","5","1",,,,,,,,,,,,"2018-09-06 15:26:59","2018-09-06 15:26:59","B37396","B37396"
"2","9","1","1",,,,,,,,,,,,"2018-09-06 15:27:42","2018-09-06 15:27:42","B37396","B37396"
"2","9","2","1",,,,,,,,,,,,"2018-09-06 15:27:42","2018-09-06 15:27:42","B37396","B37396"
"2","9","3","1",,,,,,,,,,,,"2018-09-06 15:27:42","2018-09-06 15:27:42","B37396","B37396"
"2","9","4","1",,,,,,,,,,,,"2018-09-06 15:27:42","2018-09-06 15:27:42","B37396","B37396"
"2","9","5","1",,,,,,,,,,,,"2018-09-06 15:27:42","2018-09-06 15:27:42","B37396","B37396"
"2","10","1","1",,,,,,,,,,,,"2018-09-06 15:27:34","2018-09-06 15:27:34","B37396","B37396"
"2","10","2","1",,,,,,,,,,,,"2018-09-06 15:27:34","2018-09-06 15:27:34","B37396","B37396"
"2","10","3","1",,,,,,,,,,,,"2018-09-06 15:27:34","2018-09-06 15:27:34","B37396","B37396"
"2","10","4","1",,,,,,,,,,,,"2018-09-06 15:27:34","2018-09-06 15:27:34","B37396","B37396"
"2","10","5","1",,,,,,,,,,,,"2018-09-06 15:27:34","2018-09-06 15:27:34","B37396","B37396"
"2","11","1","1",,,,,,,,,,,,"2018-09-06 15:39:41","2018-09-06 15:39:41","B37396","B37396"
"2","11","2","1",,,,,,,,,,,,"2018-09-06 15:39:41","2018-09-06 15:39:41","B37396","B37396"
"2","11","3","1",,,,,,,,,,,,"2018-09-06 15:39:41","2018-09-06 15:39:41","B37396","B37396"
"2","11","4","1",,,,,,,,,,,,"2018-09-06 15:39:41","2018-09-06 15:39:41","B37396","B37396"
"2","11","5","1",,,,,,,,,,,,"2018-09-06 15:39:41","2018-09-06 15:39:41","B37396","B37396"
"2","12","1","1",,,,,,,,,,,,"2018-09-05 15:59:41","2018-09-05 15:59:41","B37396","B37396"
"2","12","2","1",,,,,,,,,,,,"2018-09-05 15:59:41","2018-09-05 15:59:41","B37396","B37396"
"2","12","3","1",,,,,,,,,,,,"2018-09-05 15:59:41","2018-09-05 15:59:41","B37396","B37396"
"2","12","4","1",,,,,,,,,,,,"2018-09-05 15:59:41","2018-09-05 15:59:41","B37396","B37396"
"2","12","5","1",,,,,,,,,,,,"2018-09-05 15:59:41","2018-09-05 15:59:41","B37396","B37396"
"2","13","1","1",,,,,,,,,,,,"2018-09-05 15:59:45","2018-09-05 15:59:45","B37396","B37396"
"2","13","2","1",,,,,,,,,,,,"2018-09-05 15:59:45","2018-09-05 15:59:45","B37396","B37396"
"2","13","3","1",,,,,,,,,,,,"2018-09-05 15:59:45","2018-09-05 15:59:45","B37396","B37396"
"2","13","4","1",,,,,,,,,,,,"2018-09-05 15:59:45","2018-09-05 15:59:45","B37396","B37396"
"2","13","5","1",,,,,,,,,,,,"2018-09-05 15:59:45","2018-09-05 15:59:45","B37396","B37396"
"2","14","1","1",,,,,,,,,,,,"2018-09-05 15:59:47","2018-09-05 15:59:47","B37396","B37396"
"2","14","2","1",,,,,,,,,,,,"2018-09-05 15:59:47","2018-09-05 15:59:47","B37396","B37396"
"2","14","3","1",,,,,,,,,,,,"2018-09-05 15:59:47","2018-09-05 15:59:47","B37396","B37396"
"2","14","4","1",,,,,,,,,,,,"2018-09-05 15:59:47","2018-09-05 15:59:47","B37396","B37396"
"2","14","5","1",,,,,,,,,,,,"2018-09-05 15:59:47","2018-09-05 15:59:47","B37396","B37396"
"2","15","1","1",,,,,,,,,,,,"2018-09-05 15:59:50","2018-09-05 15:59:50","B37396","B37396"
"2","15","2","1",,,,,,,,,,,,"2018-09-05 15:59:50","2018-09-05 15:59:50","B37396","B37396"
"2","15","3","1",,,,,,,,,,,,"2018-09-05 15:59:50","2018-09-05 15:59:50","B37396","B37396"
"2","15","4","1",,,,,,,,,,,,"2018-09-05 15:59:50","2018-09-05 15:59:50","B37396","B37396"
"2","15","5","1",,,,,,,,,,,,"2018-09-05 15:59:50","2018-09-05 15:59:50","B37396","B37396"
"2","16","1","1",,,,,,,,,,,,"2018-09-05 15:59:52","2018-09-05 15:59:52","B37396","B37396"
"2","16","2","1",,,,,,,,,,,,"2018-09-05 15:59:52","2018-09-05 15:59:52","B37396","B37396"
"2","16","3","1",,,,,,,,,,,,"2018-09-05 15:59:52","2018-09-05 15:59:52","B37396","B37396"
"2","16","4","1",,,,,,,,,,,,"2018-09-05 15:59:52","2018-09-05 15:59:52","B37396","B37396"
"2","16","5","1",,,,,,,,,,,,"2018-09-05 15:59:52","2018-09-05 15:59:52","B37396","B37396"
"2","17","1","1",,,,,,,,,,,,"2018-09-05 15:59:43","2018-09-05 15:59:43","B37396","B37396"
"2","17","2","1",,,,,,,,,,,,"2018-09-05 15:59:43","2018-09-05 15:59:43","B37396","B37396"
"2","17","3","1",,,,,,,,,,,,"2018-09-05 15:59:43","2018-09-05 15:59:43","B37396","B37396"
"2","17","4","1",,,,,,,,,,,,"2018-09-05 15:59:43","2018-09-05 15:59:43","B37396","B37396"
"2","17","5","1",,,,,,,,,,,,"2018-09-05 15:59:43","2018-09-05 15:59:43","B37396","B37396"
"2","18","1","1",,,,,,,,,,,,"2018-09-06 16:16:34","2018-09-06 16:16:34","B37396","B37396"
"2","18","2","1",,,,,,,,,,,,"2018-09-06 16:16:34","2018-09-06 16:16:34","B37396","B37396"
"2","18","3","1",,,,,,,,,,,,"2018-09-06 16:16:34","2018-09-06 16:16:34","B37396","B37396"
"2","18","4","1",,,,,,,,,,,,"2018-09-06 16:16:34","2018-09-06 16:16:34","B37396","B37396"
"2","18","5","1",,,,,,,,,,,,"2018-09-06 16:16:34","2018-09-06 16:16:34","B37396","B37396"
"2","19","1","1",,,,,,,,,,,,"2018-09-06 16:18:49","2018-09-06 16:18:49","B37396","B37396"
"2","19","2","1",,,,,,,,,,,,"2018-09-06 16:18:49","2018-09-06 16:18:49","B37396","B37396"
"2","19","3","1",,,,,,,,,,,,"2018-09-06 16:18:49","2018-09-06 16:18:49","B37396","B37396"
"2","19","4","1",,,,,,,,,,,,"2018-09-06 16:18:49","2018-09-06 16:18:49","B37396","B37396"
"2","19","5","1",,,,,,,,,,,,"2018-09-06 16:18:49","2018-09-06 16:18:49","B37396","B37396"
"2","20","1","1",,,,,,,,,,,,"2018-09-06 16:15:33","2018-09-06 16:15:33","B37396","B37396"
"2","20","2","1",,,,,,,,,,,,"2018-09-06 16:15:33","2018-09-06 16:15:33","B37396","B37396"
"2","20","3","1",,,,,,,,,,,,"2018-09-06 16:15:33","2018-09-06 16:15:33","B37396","B37396"
"2","20","4","1",,,,,,,,,,,,"2018-09-06 16:15:33","2018-09-06 16:15:33","B37396","B37396"
"2","20","5","1",,,,,,,,,,,,"2018-09-06 16:15:33","2018-09-06 16:15:33","B37396","B37396"
"2","21","1","1",,,,,,,,,,,,"2018-09-06 15:08:53","2018-09-06 15:08:53","B37396","B37396"
"2","21","2","1",,,,,,,,,,,,"2018-09-06 15:08:53","2018-09-06 15:08:53","B37396","B37396"
"2","21","3","1",,,,,,,,,,,,"2018-09-06 15:08:53","2018-09-06 15:08:53","B37396","B37396"
"2","21","4","1",,,,,,,,,,,,"2018-09-06 15:08:53","2018-09-06 15:08:53","B37396","B37396"
"2","21","5","1",,,,,,,,,,,,"2018-09-06 15:08:53","2018-09-06 15:08:53","B37396","B37396"
"2","22","1","1",,,,,,,,,,,,"2018-09-06 15:27:36","2018-09-06 15:27:36","B37396","B37396"
"2","22","2","1",,,,,,,,,,,,"2018-09-06 15:27:36","2018-09-06 15:27:36","B37396","B37396"
"2","22","3","1",,,,,,,,,,,,"2018-09-06 15:27:36","2018-09-06 15:27:36","B37396","B37396"
"2","22","4","1",,,,,,,,,,,,"2018-09-06 15:27:36","2018-09-06 15:27:36","B37396","B37396"
"2","22","5","1",,,,,,,,,,,,"2018-09-06 15:27:36","2018-09-06 15:27:36","B37396","B37396"
"2","23","1","1",,,,,,,,,,,,"2018-09-06 14:37:33","2018-09-06 14:37:33","B37396","B37396"
"2","23","2","1",,,,,,,,,,,,"2018-09-06 14:37:33","2018-09-06 14:37:33","B37396","B37396"
"2","23","3","1",,,,,,,,,,,,"2018-09-06 14:37:33","2018-09-06 14:37:33","B37396","B37396"
"2","23","4","1",,,,,,,,,,,,"2018-09-06 14:37:33","2018-09-06 14:37:33","B37396","B37396"
"2","23","5","1",,,,,,,,,,,,"2018-09-06 14:37:33","2018-09-06 14:37:33","B37396","B37396"
"2","24","1","1",,,,,,,,,,,,"2018-09-06 14:42:54","2018-09-06 14:42:54","B37396","B37396"
"2","24","2","1",,,,,,,,,,,,"2018-09-06 14:42:54","2018-09-06 14:42:54","B37396","B37396"
"2","24","3","1",,,,,,,,,,,,"2018-09-06 14:42:54","2018-09-06 14:42:54","B37396","B37396"
"2","24","4","1",,,,,,,,,,,,"2018-09-06 14:42:54","2018-09-06 14:42:54","B37396","B37396"
"2","24","5","1",,,,,,,,,,,,"2018-09-06 14:42:54","2018-09-06 14:42:54","B37396","B37396"
"2","25","1","1",,,,,,,,,,,,"2018-09-06 14:46:34","2018-09-06 14:46:34","B37396","B37396"
"2","25","2","1",,,,,,,,,,,,"2018-09-06 14:46:34","2018-09-06 14:46:34","B37396","B37396"
"2","25","3","1",,,,,,,,,,,,"2018-09-06 14:46:34","2018-09-06 14:46:34","B37396","B37396"
"2","25","4","1",,,,,,,,,,,,"2018-09-06 14:46:34","2018-09-06 14:46:34","B37396","B37396"
"2","25","5","1",,,,,,,,,,,,"2018-09-06 14:46:34","2018-09-06 14:46:34","B37396","B37396"
"2","26","1","1",,,,,,,,,,,,"2018-09-06 14:46:49","2018-09-06 14:46:49","B37396","B37396"
"2","26","2","1",,,,,,,,,,,,"2018-09-06 14:46:49","2018-09-06 14:46:49","B37396","B37396"
"2","26","3","1",,,,,,,,,,,,"2018-09-06 14:46:49","2018-09-06 14:46:49","B37396","B37396"
"2","26","4","1",,,,,,,,,,,,"2018-09-06 14:46:49","2018-09-06 14:46:49","B37396","B37396"
"2","26","5","1",,,,,,,,,,,,"2018-09-06 14:46:49","2018-09-06 14:46:49","B37396","B37396"
"2","27","1","1",,,,,,,,,,,,"2018-09-06 15:05:56","2018-09-06 15:05:56","B37396","B37396"
"2","27","2","1",,,,,,,,,,,,"2018-09-06 15:05:56","2018-09-06 15:05:56","B37396","B37396"
"2","27","3","1",,,,,,,,,,,,"2018-09-06 15:05:56","2018-09-06 15:05:56","B37396","B37396"
"2","27","4","1",,,,,,,,,,,,"2018-09-06 15:05:56","2018-09-06 15:05:56","B37396","B37396"
"2","27","5","1",,,,,,,,,,,,"2018-09-06 15:05:56","2018-09-06 15:05:56","B37396","B37396"
"2","28","1","1",,,,,,,,,,,,"2018-09-06 15:27:40","2018-09-06 15:27:40","B37396","B37396"
"2","28","2","1",,,,,,,,,,,,"2018-09-06 15:27:40","2018-09-06 15:27:40","B37396","B37396"
"2","28","3","1",,,,,,,,,,,,"2018-09-06 15:27:40","2018-09-06 15:27:40","B37396","B37396"
"2","28","4","1",,,,,,,,,,,,"2018-09-06 15:27:40","2018-09-06 15:27:40","B37396","B37396"
"2","28","5","1",,,,,,,,,,,,"2018-09-06 15:27:40","2018-09-06 15:27:40","B37396","B37396"
"2","29","1","1",,,,,,,,,,,,"2018-09-06 15:28:51","2018-09-06 15:28:51","B37396","B37396"
"2","29","2","1",,,,,,,,,,,,"2018-09-06 15:28:51","2018-09-06 15:28:51","B37396","B37396"
"2","29","3","1",,,,,,,,,,,,"2018-09-06 15:28:51","2018-09-06 15:28:51","B37396","B37396"
"2","29","4","1",,,,,,,,,,,,"2018-09-06 15:28:51","2018-09-06 15:28:51","B37396","B37396"
"2","29","5","1",,,,,,,,,,,,"2018-09-06 15:28:51","2018-09-06 15:28:51","B37396","B37396"
"2","30","1","1",,,,,,,,,,,,"2018-10-22 14:39:43","2018-10-22 14:39:43","A2728","A2728"
"2","30","2","1",,,,,,,,,,,,"2018-10-22 14:39:43","2018-10-22 14:39:43","A2728","A2728"
"2","30","3","1",,,,,,,,,,,,"2018-10-22 14:39:43","2018-10-22 14:39:43","A2728","A2728"
"2","30","4","1",,,,,,,,,,,,"2018-10-22 14:39:43","2018-10-22 14:39:43","A2728","A2728"
"2","30","5","1",,,,,,,,,,,,"2018-10-22 14:39:43","2018-10-22 14:39:43","A2728","A2728"
"2","31","1","1",,,,,,,,,,,,"2018-10-22 14:28:43","2018-10-22 14:28:43","A2728","A2728"
"2","31","2","1",,,,,,,,,,,,"2018-10-22 14:28:43","2018-10-22 14:28:43","A2728","A2728"
"2","31","3","1",,,,,,,,,,,,"2018-10-22 14:28:43","2018-10-22 14:28:43","A2728","A2728"
"2","31","4","1",,,,,,,,,,,,"2018-10-22 14:28:43","2018-10-22 14:28:43","A2728","A2728"
"2","31","5","1",,,,,,,,,,,,"2018-10-22 14:28:43","2018-10-22 14:28:43","A2728","A2728"
"2","32","1","1",,,,,,,,,,,,"2018-10-22 14:28:53","2018-10-22 14:28:53","A2728","A2728"
"2","32","2","1",,,,,,,,,,,,"2018-10-22 14:28:53","2018-10-22 14:28:53","A2728","A2728"
"2","32","3","1",,,,,,,,,,,,"2018-10-22 14:28:53","2018-10-22 14:28:53","A2728","A2728"
"2","32","4","1",,,,,,,,,,,,"2018-10-22 14:28:53","2018-10-22 14:28:53","A2728","A2728"
"2","32","5","1",,,,,,,,,,,,"2018-10-22 14:28:53","2018-10-22 14:28:53","A2728","A2728"
"2","33","1","1",,,,,,,,,,,,"2018-10-22 14:55:44","2018-10-22 14:55:44","A2728","A2728"
"2","33","2","1",,,,,,,,,,,,"2018-10-22 14:55:45","2018-10-22 14:55:45","A2728","A2728"
"2","33","3","1",,,,,,,,,,,,"2018-10-22 14:55:45","2018-10-22 14:55:45","A2728","A2728"
"2","33","4","1",,,,,,,,,,,,"2018-10-22 14:55:45","2018-10-22 14:55:45","A2728","A2728"
"2","33","5","1",,,,,,,,,,,,"2018-10-22 14:55:45","2018-10-22 14:55:45","A2728","A2728"
"2","34","1","1",,,,,,,,,,,,"2018-10-22 15:02:45","2018-10-22 15:02:45","A2728","A2728"
"2","34","2","1",,,,,,,,,,,,"2018-10-22 15:02:45","2018-10-22 15:02:45","A2728","A2728"
"2","34","3","1",,,,,,,,,,,,"2018-10-22 15:02:45","2018-10-22 15:02:45","A2728","A2728"
"2","34","4","1",,,,,,,,,,,,"2018-10-22 15:02:45","2018-10-22 15:02:45","A2728","A2728"
"2","34","5","1",,,,,,,,,,,,"2018-10-22 15:02:45","2018-10-22 15:02:45","A2728","A2728"
