"no","pref","name","kana","status","rgst","updt","created_id","updated_id"
"0010006","1",,,"X",,,,
"0011002","1","札幌市","サッポロシ","1",,,,
"0011011","1","札幌市中央区","サッポロシチュウオウク","1",,,,
"0011029","1","札幌市北区","サッポロシキタク","1",,,,
"0011037","1","札幌市東区","サッポロシヒガシク","1",,,,
"0011045","1","札幌市白石区","サッポロシシロイシク","1",,,,
"0011053","1","札幌市豊平区","サッポロシトヨヒラク","1",,,,
"0011061","1","札幌市南区","サッポロシミナミク","1",,,,
"0011070","1","札幌市西区","サッポロシニシク","1",,,,
"0011088","1","札幌市厚別区","サッポロシアツベツク","1",,,,
"0011096","1","札幌市手稲区","サッポロシテイネク","1",,,,
"0011100","1","札幌市清田区","サッポロシキヨタク","1",,,,
"0012025","1","函館市","ハコダテシ","1",,,,
"0012033","1","小樽市","オタルシ","1",,,,
"0012041","1","旭川市","アサヒカワシ","1",,,,
"0012050","1","室蘭市","ムロランシ","1",,,,
"0012068","1","釧路市","クシロシ","1",,,,
"0012076","1","帯広市","オビヒロシ","1",,,,
"0012084","1","北見市","キタミシ","1",,,,
"0012092","1","夕張市","ユウバリシ","1",,,,
"0012106","1","岩見沢市","イワミザワシ","1",,,,
"0012114","1","網走市","アバシリシ","1",,,,
"0012122","1","留萌市","ルモイシ","1",,,,
"0012131","1","苫小牧市","トマコマイシ","1",,,,
"0012149","1","稚内市","ワッカナイシ","1",,,,
"0012157","1","美唄市","ビバイシ","1",,,,
"0012165","1","芦別市","アシベツシ","1",,,,
"0012173","1","江別市","エベツシ","1",,,,
"0012181","1","赤平市","アカビラシ","1",,,,
"0012190","1","紋別市","モンベツシ","1",,,,
"0012203","1","士別市","シベツシ","1",,,,
"0012211","1","名寄市","ナヨロシ","1",,,,
"0012220","1","三笠市","ミカサシ","1",,,,
"0012238","1","根室市","ネムロシ","1",,,,
"0012246","1","千歳市","チトセシ","1",,,,
"0012254","1","滝川市","タキカワシ","1",,,,
"0012262","1","砂川市","スナガワシ","1",,,,
"0012271","1","歌志内市","ウタシナイシ","1",,,,
"0012289","1","深川市","フカガワシ","1",,,,
"0012297","1","富良野市","フラノシ","1",,,,
"0012301","1","登別市","ノボリベツシ","1",,,,
"0012319","1","恵庭市","エニワシ","1",,,,
