"no","id","code","k_id","name","kana","zip","pref","district_no","address1","address2","x","y","direction","streetview_url","tel","paycall","fax","mail","info_mail","info_cc","info_bcc","url","flg_photo","flg_equipment","equipment_note","parking_note","flg_language","language_note","flg_credit_company","credit_note","dt_consultation","consultation_note","memo","business_hours","rail1","station1","access1","rail2","station2","access2","rail3","station3","access3","rail4","station4","access4","rail5","station5","access5","description","memo1","memo2","memo3","principal","principal_history","pv","pvad","pickup","login_id","login_psw","login_status","status","evaluation_flg","free_area","search_word","plan_cd","hplink_contract_kbn","hplink_count","hplink_price","rgst","updt","created_id","updated_id","flg_pre_account","pre_account_discount_rate","pre_account_commission_rate"
"20885","m4000156","D20885","K10185833","八広同仁会クリニック","やひろどうじんかいくりにっく","131-0041","13","131075","八広6-29-14 ",,"139.8285440","35.7265580",,"https://www.google.com/maps/embed?pb=!4v1553590013258!6m8!1m7!1sfevSyAxnd8v2TwKEEm4EbA!2m2!1d35.7263721927159!2d139.8286576928535!3f295.22491575508417!4f16.293486062336243!5f0.7820865974627469","03-3619-4471",,,,,,,,,,,,,,,,,,,,"281","783","徒歩2分",,,,,,,,,,,,,,,,,"院長：佐々木 美和","【略歴】
2003年　山口大学医学部 卒業
2003年　山口大学医学部付属病院泌尿器科学講座 入局
2010年　神奈川県横浜市内総合診療部 勤務
2013年　都内透析クリニック院長 歴任
2014年　八広同仁会クリニック 開業
【資格】
日本泌尿器科学会認定 泌尿器科専門医","112","0","0",,,"0","1","0",,,"24","0",,,"2018-10-16 17:28:57","2019-07-24 11:48:22","epkdoc01","epkdoc01","0","0","0.00"
"21092","m4004259","D21092","K10187287","総合病院　厚生中央病院","そうごうびょういんこうせいちゅうおうびょういん","153-0062","13","131105","三田1-11-7 ",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1542354242975!6m8!1m7!1sGAgLViktlSlDvVcaak30ow!2m2!1d35.64206312669128!2d139.7124862200347!3f205.64527730204364!4f24.506237100181337!5f0.7820865974627469","03-3713-2141","0066-9809-0000758",,,,,,,,,,,,,,,,"年末年始","※予約受付時間は 月～金の13:00～16:30のみとなりますのでご注意ください。",,"258","241","東口より、徒歩5分",,,,,,,,,,,,,,,,,"院長：櫻井 道雄","1973年　東京医科大学医学部 卒業
1986年　総合病院　厚生中央病院 勤務","0","0","0",,,"0","0","0","<div id=""movieArea""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yt_w3Ylaazc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe></div>

<div class=""movieArea""><iframe src=""https://grooon.com/tour/hVaHAMScQ8GJUrPG"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>",,"24","0",,,"2018-11-13 11:16:59","2019-07-29 10:20:17","epkdoc01","epkdoc01","0","0","0.00"
"21099","m4052133","D21099","K10187494","ココカラハートクリニック","ここからはーとくりにっく","461-0001","23","231029","泉1-23-36","NBN泉ビル4F","0.0000000","0.0000000",,,"052-953-9373",,,,,,,,,,,,,,,,,"土曜日不定休",,,"493","5197","1A出口より徒歩1分",,,,,,,,,,,,,,,,,"院長：伊藤 義浩","【略歴】
2002年　藤田保健衛生大学医学部 卒業","73","500","0",,,"0","1","0","<div id=""movieArea""><iframe src=""https://grooon.com/tour/WwRFxsSYZu27Znww"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/13356"",
        ""url"": ""https://play.bespotful.com/13356"",
        ""embedUrl"": ""https://play.bespotful.com/13356"",
        ""name"": ""【施設1分動画】ココカラハートクリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

ココカラハートクリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：ココカラハートクリニック
住所：愛知県名古屋市
最寄り駅：久屋大通駅

【ココカラハートクリニックの検査項目】
主な検診コース:心臓ドック"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1569897598_1627-thumbnail.jpg"",
        ""UploadDate"": ""2019-10-01"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"24","0",,,"2018-11-19 11:07:50","2019-10-01 15:44:39","epkdoc01","epkdoc01","0","0","0.00"
"21104","m4080851","D21104","K10187810","東名古屋画像診断クリニック","ひがしなごやがぞうしんだんくりにっく","464-0044","23","231011","自由ケ丘3-4-26",,"136.9706670","35.1767920",,"https://www.google.com/maps/embed?pb=!4v1551775645035!6m8!1m7!1sPnA1ZyhrVLbFQCnGxyd_fQ!2m2!1d35.17687437083322!2d136.9704845425145!3f106.68471500895278!4f20.802467680287947!5f0.7820865974627469","0120-73-1714",,,,,,,,,,,,,,,,,,,,"493","5188","徒歩約5分",,,,,,,,,,,,,,,,,"理事長：岩田 宏","【略歴】
1984年　名古屋市立大学医学部 卒業
2005年　名古屋放射線診断財団 理事長 就任
【資格】
日本外科学会認定 外科専門医","106","3700","0",,,"0","1","0","<div id=""movieArea""><iframe src=""https://grooon.com/tour/2xZx5qAEpdZfqxgL"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/12513"",
        ""url"": ""https://play.bespotful.com/12513"",
        ""embedUrl"": ""https://play.bespotful.com/12513"",
        ""name"": ""【施設1分動画】東名古屋画像診断クリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

東名古屋画像診断クリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：東名古屋画像診断クリニック
住所：愛知県名古屋市
最寄り駅：自由ケ丘駅(愛知県)

【東名古屋画像診断クリニックの検査項目】
主な検診コース:PET検診"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1559199582_1627-thumbnail.jpg"",
        ""UploadDate"": ""2019-05-30"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"24","0",,,"2018-11-22 13:29:47","2019-09-11 17:05:19","epkdoc01","epkdoc01","0","0","0.00"
"20951","m4084171","D20951","K10181064","宮川病院","みやがわびょういん","400-0211","19","192082","上今諏訪1750 ",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1541386319874!6m8!1m7!1slVqegkW13ZpFHYJAotE5Vg!2m2!1d35.63422023715257!2d138.4954645007141!3f120.81699822924375!4f12.43672491667644!5f0.7820865974627469","055-282-1107",,,,,,,,,,,,,,,,,,,,"411","4194","タクシーで約20分",,,,,,,,,,,,,,,,,"院長：宮川 晋爾","【略歴】
1968年　岩手医科大学 卒業
1968年　東京女子医科大学病院 消化器病センター外科
1977年　医療法人弘済会 宮川病院","139","1500","0",,,"0","1","0","<div class=""movieArea""><iframe width=""560"" height=""315"" src=""https://play.bespotful.com/11459"" frameborder=""0"" allowfullscreen></iframe></div>

<div class=""movieArea grooonPc""><iframe src=""https://grooon.com/tour/pnPzpz7dtVSs0Lcc"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>
<div class=""grooonSp""><a href=""https://grooon.com/tour/pnPzpz7dtVSs0Lcc"" target=""_blank""><img src=""/img/hospital/m4084171/account/D20951_sp600_400_btn_tour.png"" alt=""院内ツアー""></a></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/11459"",
        ""url"": ""https://play.bespotful.com/11459"",
        ""embedUrl"": ""https://play.bespotful.com/11459"",
        ""name"": ""【動画で検診予約】宮川病院_宮川 直登 副院長_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。宮川病院 宮川直登 副院長のインタビュー動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。主な検診コースは、人間ドック、胃がん検診、大腸がん検診、健康診断です。

【施設情報】
医院名：宮川病院
住所：山梨県南アルプス市上今諏訪1750
最寄り駅：常永駅（タクシーで約20分）

【宮川病院の検査項目】
主な検診コース:人間ドック、胃がん検診、大腸がん検診、健康診断
主な検査内容:X線、エコー、内視鏡

人間ドックと検診予約サイト EPARK人間ドック
EPARK人間ドック：https://www.docknet.jp/"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/20190123_1548227732_1627-thumbnail.png"",
        ""UploadDate"": ""2019-01-23"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"20","1","5","500","2018-10-29 09:49:08","2019-10-16 16:45:26","epkdoc01","epkdoc01","0","0","0.00"
"20521","m4105560","D20521","K10176177","【解約】コンフォート横浜健診センター","こんふぉーとよこはまけんしんせんたー","220-0023","14","141038","平沼2-8-25 ",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1517387652926!6m8!1m7!1sUapxIq7oVZLSgKpYs3ZvZA!2m2!1d35.45824826952276!2d139.6166625653613!3f300.8108476390497!4f-0.07582116514902282!5f0.7820865974627469","045-620-6101",,,,,,,,,,,,,,,,,"日曜隔週、夏季休診、年末年始",,,"354","3446","徒歩1分","300","1008","徒歩4分","264","236","東口から、徒歩15分",,,,,,,,,,,"院長　小林 愛","2005年　高知大学医学部　卒業　
2018年5月　コンフォート横浜クリニック　院長就任","0","0","0",,,"0","X","0"," <style>
#localNav ul li:nth-child(6) { display:none; }
#localNav { height:220px; }
#localNav ul { height:220x; }
</style>","コンフォート病院,コンフォート横浜クリニック","10","0",,,"2018-01-26 17:18:02","2019-03-12 18:00:48","epkdoc01","epkdoc01","0","0",
"20124","m4123362","D20124","K10133136","螢田診療所(蛍田診療所)","ほたるだしんりょうじょ","250-0865","14","142069","蓮正寺310",,,,,"https://www.google.com/maps/embed?pb=!1m0!4v1504158250772!6m8!1m7!1sIWhw67j1KAzmqRCLcVk_wA!2m2!1d35.28529554925805!2d139.1519568781172!3f64.5!4f11.370000000000005!5f0.8160813932612223","0465-36-3230",,,,,,,,,,,,,,,,,"木曜午後、年末年始",,"午前≪月～土≫9：00～12：00　午後≪月・火・水・金≫15：30～18：00 午後　≪土≫13：30～16：00","291","891","徒歩1分",,,,,,,,,,,,,,,,,"小澤 優樹","【略歴】
1980年　昭和大学医学部 卒業
【資格】
日本循環器学会認定 循環器専門医
日本内科学会認定　総合内科専門医
日本超音波医学会認定 超音波専門医","155","4700","0",,,"0","1","0","<div id=""movieArea""><iframe src=""https://play.bespotful.com/13162"" frameborder=""0"" scrolling=""no"" allowfullscreen width=""560"" height=""315""></iframe></div>

<div class=""movieArea grooonPc""><iframe src=""https://grooon.com/tour/xgsktZ2bGuhMtJAc"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>
<div class=""grooonSp""><a href=""https://grooon.com/tour/xgsktZ2bGuhMtJAc"" target=""_blank""><img src=""/img/hospital/m4123362/account/D20124_sp600_400_btn_tour.png"" alt=""院内ツアー""></a></div>",,"03","0",,,"2017-07-31 00:00:00","2019-09-02 17:01:55","system","epkdoc01","0","0",
"21267","m4187095","D21267","K10295985","藤田内科クリニック","ふじたないかくりにっく","933-0955","16","162027","瑞穂町4-25",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1554865927490!6m8!1m7!1sR3UATD1gwvorKNPRlMbZfg!2m2!1d36.75067335803771!2d136.9960494437744!3f203.65000461419686!4f0.2502083865631306!5f0.7820865974627469","0766-22-8092","0066-9809-0000761",,,,,,,,,,,,,,,,"年末年始／お盆","※月曜日から金曜日の診療時間は08:30～18:30となります。<br>　土曜日の診療時間は08:30～17:00となります。",,"1334","3703","バス12分",,,,,,,,,,,,,,,,,"院長：藤田 一","【略歴】
1985年　金沢大学医学部 卒業
2000年　藤田内科クリニック 院長
2008年　高岡市医師会 理事
2012年　富山県医師会 理事
2015年　高岡市医師会 会長","120","0","0",,,"0","1","0","<div id=""movieArea""><iframe src=""https://play.bespotful.com/13295"" frameborder=""0"" scrolling=""no"" allowfullscreen width=""560"" height=""315""></iframe></div>",,"24","0",,,"2019-04-04 17:41:52","2019-10-17 10:03:05","epkdoc01","epkdoc01","0","0","0.00"
"21003","m4188015","D21003","K10186963","遠州病院","えんしゅうびょういん","430-0929","22","221317","中央1-1-1 ",,"137.7347540","34.7131800",,"https://www.google.com/maps/embed?pb=!4v1541663249891!6m8!1m7!1slC2MNXmwwkJYF4N3cFCBsQ!2m2!1d34.71266099897026!2d137.7341548989509!3f66.3520531275555!4f15.424277320969878!5f0.7820865974627469","053-415-9969",,,,,,,,,,,,,,,,,,,,"235","606","徒歩15分","452","606","徒歩15分",,,,,,,,,,,,,,"院長：水上 泰延",,"222","500","0",,,"0","1","0","<div class=""movieArea grooonPc""><iframe src=""https://grooon.com/tour/JONIcOcp98yndogH"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>
<div class=""grooonSp""><a href=""https://grooon.com/tour/JONIcOcp98yndogH"" target=""_blank""><img src=""/img/hospital/m4188015/account/D21003_sp600_400_btn_tour.png"" alt=""院内ツアー""></a></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/13011"",
        ""url"": ""https://play.bespotful.com/13011"",
        ""embedUrl"": ""https://play.bespotful.com/13011"",
        ""name"": ""【施設1分動画】遠州病院_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

遠州病院の健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：遠州病院
住所：静岡県浜松市
最寄り駅：浜松駅

【遠州病院の検査項目】
主な検診コース:人間ドック・その他・脳検査"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1564637199_1627-thumbnail.jpg"",
        ""UploadDate"": ""2019-08-01"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"22","0",,,"2018-11-06 11:53:16","2019-08-19 11:34:59","epkdoc01","epkdoc01","0","0","0.00"
"21434","m4191212","D21434","K10298657","葛西昌医会病院","かさいしょういかいびょういん","134-8678","13","131237","東葛西6-30-3",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1562224471616!6m8!1m7!1s3gnEynvHuTNHIesSz67UHA!2m2!1d35.6604815015509!2d139.8772304032573!3f56.88388058331995!4f16.499393041030885!5f0.7820865974627469","03-5696-1611",,,,,,,,,,,,,,,,,"年末年始",,,"218","566","徒歩8分",,,,,,,,,,,,,,,,,"理事長：吉田 生馬","院長：石山 哲","40","0","0",,,"0","1","0",,,"24","0",,,"2019-07-02 18:44:07","2019-11-01 14:56:22","epkdoc01","epkdoc01","0","0","0.00"
