"hospital_no","file_no","file_group_no","file_location_no","title","caption","name","memo","career","interview","position","flg_display","order","order2","status","rgst","updt","created_id","updated_id"
"20003",,"3","1","日本脳神経外科学会認定「脳神経外科専門医」が2名体制で脳ドックを診断します","<p class=""tab-txt"">当院（東京脳神経センター）は精度の高い画像診断を目的としてドイツ・シーメンス社製の先進的なMRI装置を使用して、脳MRI／脳・頚MRA検査を実施しています。
脳MRI検査は4種類の方法で断層面（スラブ）を詳しく撮像、MRA検査は主に脳血管、頚血管の検査に用いられます。<br>
脳腫瘍や無症候性脳梗塞、慢性硬膜下血種、脳室拡大、脳委縮など気づかないうちに病気が進行するものもあります。また未破裂脳動脈瘤や脳血管奇形なども偶然発見されることが多いです。<br>
当院には日本脳神経外科学会認定「脳神経外科専門医」や日本神経学会認定「神経内科専門医」など、分野に精通する医師が10名ほど在籍しており、Wチェック体制による診断と受診者に丁寧な説明を（診察またはレポート）行っています。また偶然にも疾患が発見され、手術が必要な場合は関連病院である（東京大学病院系列）42箇所の医療施設、各分野に知見を持つ医師に紹介を行っています。<br>
当院は港区虎ノ門四丁目にあり、周りはアメリカ大使館、スペイン大使館やホテルオークラ、オフィスビルなどがありますが、緑の多い穏やかな場所でもあり今、虎ノ門再開発でこのエリアはオシャレに変化して賑わっています。<br>
最寄りの駅の東京メトロ日比谷線「神谷町駅」のB4出口から徒歩2分で右手に看板が出ております。また東京メトロ南北線「六本木一丁目駅」から徒歩10分（エスカレーター移動）でアクセスできます。
</p>

<p class=""s-movie""><iframe src=""https://play.bespotful.com/10679"" frameborder=""0"" scrolling=""no"" allowfullscreen width=""560"" height=""315""></iframe></p>",,,,,,"0","0","0","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5714","1","2",,,,,,,,"0","0","0","1","2019-09-26 09:16:57","2019-09-26 09:16:57","epkdoc01","epkdoc01"
"20003","5715","1","1",,,,,,,,"0","0","0","1","2019-09-26 09:16:57","2019-09-26 09:16:57","epkdoc01","epkdoc01"
"20003","5718","2","1",,,,,,,,"0","0","0","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5719","2","4",,,,,,,,"0","0","0","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5720","8","3",,,,,,,,"1","4","1","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5721","8","3",,,,,,,,"0","0","2","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5723","8","2",,,,,,,,"0","0","1","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5724","8","2",,,,,,,,"0","0","3","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5726","8","3",,,,,,,,"0","0","3","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5727","8","3",,,,,,,,"0","0","4","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5728","8","3",,,,,,,,"0","0","5","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5729","8","3",,,,,,,,"0","0","10","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5731","8","2",,,,,,,,"0","0","5","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5732","8","2",,,,,,,,"0","0","6","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5733","8","2",,,,,,,,"0","0","7","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5734","8","2",,,,,,,,"0","0","8","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","5735","8","2",,,,,,,,"0","0","9","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5736","8","4",,,,,,,,"0","0","1","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5737","8","5",,,,,,,,"0","0","1","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5738","8","3",,,,,,,,"0","0","6","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5740","8","3",,,,,,,,"0","0","7","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5742","8","3",,,,,,,,"0","0","8","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5743","8","4",,,,,,,,"0","0","2","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5744","8","3",,,,,,,,"1","3","9","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5745","8","2",,,,,,,,"0","0","11","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","5758","8","1",,,,,,,,"1","1","1","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","20875","8","2",,,,,,,,"0","0","4","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","20876","8","2",,,,,,,,"0","0","10","1","2019-09-26 09:16:59","2019-09-26 09:16:59","epkdoc01","epkdoc01"
"20003","20881","5","1","最寄り駅から徒歩約2分。東京有数の観光スポットにある診療施設です","<h4>最寄りの「神谷町駅」からは徒歩でわずか2分です</h4><p>当院は、アクセスのよさが特徴のひとつです。<br>
最寄りの東京メトロ日比谷線「神谷町駅」を利用する場合、虎ノ門方面改札口のB4出口から徒歩約2分で当院に到着できます。<br>
また、東京メトロ南北線「六本木一丁目駅」の場合、北改札口の泉ガーデンギャラリー方面から徒歩約10分でアクセスできます。<br>
さらに、自動車で来院する場合でも、当院が入るビルに併設されている有料駐車場（300円／30分）が利用できます。</p>
<br>
<h4>観光にもグルメにもさまざまな選択肢がある周辺環境です</h4><p>当院の近隣には東京タワーがあり、東京でも有数のある観光スポットに位置しています。<br>
そのため、検診を終えた後に周辺を観光することができます。また、周辺に数多くある有名レストランなどでランチを楽しむこともできます。<br>
さらに特筆できるのは、東京メトロ南北線「六本木一丁目駅」も複合施設ビルである泉ガーデンタワーと六本木グランドタワーが隣接していることです。買い物や食事を楽しむ選択肢にはまったくといってよいほど事欠きません。</p>",,,,,"L","0","0","0","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
"20003","21218","5","4","検査で異常が発見された場合、40以上の医療施設との提携体制を整えています","<h4>異常が発見された場合は提携先の医療機関への紹介状を発行します</h4><p>脳ドックや頸ドックなどで検査を受診した結果、異常が見つかった場合、受診者に提携先の医療機関への紹介状を発行し、すぐに2次検査を受診できる体制を整えています。<br>
また、受診者の不安を少しでも軽減できるようにスタッフ一同が常に心がけています。</p>
<h4>提携している医療機関は40以上あり、紹介が可能です</h4><p>当院が提携している医療機関は40以上あり、すぐに紹介することが可能です。異常が発見され、さらに手術や特殊な治療が必要な場合でも、素早い対応が可能になると考えています。<br>
また、神経全般の疾患や筋肉の疾患（脳神経外科、神経内科）であれば、当院で治療が可能です。その場合は保険診療となります。<br>
検査結果がどのようなケースとなっても、受診者それぞれに適したフォローをしたいと当院は考えています。</p>",,,,,"R","0","0","0","1","2019-09-26 09:16:58","2019-09-26 09:16:58","epkdoc01","epkdoc01"
