"item_category_dai_no","item_category_chu_no","item_category_sho_no","name","flg_regist","order","c_name","flg_icon","icon_name","status","rgst","updt","created_id","updated_id"
"1","1","1","駐車場あり","1","1","駐車場あり","1","駐車場あり","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","1","2","その他","0","2",,"0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","1","3","送迎サービスあり","1","3","送迎サービスあり","1","送迎あり","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","1","4","駅近","2","4","駅近","1","駅近","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","2","5","その他","0","5",,"1","カードOK","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","3","6","英語","1","6","英語","1","英語","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","3","7","中国語","1","7","中国語","1","中国語","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","3","8","韓国語","1","8","韓国語","1","韓国語","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","3","9","その他","0","9",,"0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","4","10","日本人間ドック学会　機能評価認定施設","1","10","日本人間ドック学会　機能評価認定施設","1","日本人間ドック学会　機能評価認定施設","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","5","11","レディースデーあり","1","11","レディースデーあり※女性のみの受診日です","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","5","12","女性専用エリアあり","1","12","女性専用エリアあり","1","女性専用エリア","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","5","13","パウダールームあり","1","13","パウダールームあり","1","パウダールーム","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","6","14","キッズスペース","1","14","キッズスペース","1","キッズスペース","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","6","15","託児所","1","15","託児所","1","託児所","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","6","16","子連れ対応可能","1","16","子連れ対応可能","1","子連れOK","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","6","17","その他","0","17",,"0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","7","18","健診専用施設","1","18","健診専用施設","1","健診専用施設","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","7","19","健診専用エリアあり","1","19","健診専用エリアあり","1","健診専用エリア","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","7","20","バリアフリー対応","1","20","バリアフリー対応","1","バリアフリー","1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","8","21","院内食堂・レストランあり（予約なしで利用可）","1","21","院内食堂・レストランあり（予約なしで利用可）","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","9","22","その他","0","22",,"0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","10","23","その他","0","23",,"0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","11","24","更衣室専有あり（一人着替えスペース）","1","24","更衣室専有あり（一人着替えスペース）","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","11","25","個室採血室あり","1","25","個室採血室あり","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","11","26","個室回復室あり","1","26","個室回復室あり","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","11","27","呼び出し配慮あり","1","27","呼び出し配慮あり","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
"1","12","28","検査結果即日発行対応","1","28","検査結果即日発行","0",,"1","2017-06-09 00:00:00","2017-06-09 00:00:00",NULL,NULL
