"hospital_no","hospital_time_no","start","end","mon","tue","wed","thu","fry","sat","sun","hol","status","rgst","updt","created_id","updated_id"
"20113","1","09:00","12:30","1","1","1","1","1","1","0","0","1","2017-08-18 14:52:57","2019-11-12 14:22:08","epkdoc01","epkdoc01"
"20113","2","15:00","18:30","1","1","1","1","1","0","0","0","1","2017-08-18 14:52:57","2019-11-12 14:22:08","epkdoc01","epkdoc01"
"20113","3","14:00","16:30","0","0","0","0","0","1","0","0","1","2017-08-18 14:52:57","2019-11-12 14:22:08","epkdoc01","epkdoc01"
"20113","4",,,"0","0","0","0","0","0","0","0","1","2017-08-18 14:52:57","2019-11-12 14:22:08","epkdoc01","epkdoc01"
"20462","1","08:40","12:00","1","1","1","1","1","1","0","0","1","2017-11-27 12:21:46","2019-09-19 10:55:09","epkdoc01","epkdoc01"
"20462","2","13:30","15:00","1","1","1","1","0","0","0","0","1","2017-11-27 12:21:46","2019-09-19 10:55:09","epkdoc01","epkdoc01"
"20462","3",,,"0","0","0","0","0","0","0","0","1","2017-11-27 12:21:46","2019-09-19 10:55:09","epkdoc01","epkdoc01"
"20462","4",,,"0","0","0","0","0","0","0","0","1","2017-11-27 12:21:46","2019-09-19 10:55:09","epkdoc01","epkdoc01"
"21220","1","08:30","12:00","1","1","1","1","1","1","0","0","1","2019-03-05 14:57:54","2019-11-08 11:52:59","epkdoc01","epkdoc01"
"21220","2","16:30","19:00","1","1","1","0","1","0","0","0","1","2019-03-05 14:57:54","2019-11-08 11:52:59","epkdoc01","epkdoc01"
"21220","3",,,"0","0","0","0","0","0","0","0","1","2019-03-05 14:57:54","2019-11-08 11:52:59","epkdoc01","epkdoc01"
"21220","4",,,"0","0","0","0","0","0","0","0","1","2019-03-05 14:57:54","2019-11-08 11:52:59","epkdoc01","epkdoc01"
"21276","1","09:00","12:30","1","1","1","1","1","1","0","0","1","2019-04-09 17:58:43","2019-11-21 12:56:40","epkdoc01","epkdoc01"
"21276","2","14:30","18:00","1","1","1","1","1","0","0","0","1","2019-04-09 17:58:43","2019-11-21 12:56:40","epkdoc01","epkdoc01"
"21276","3",,,"0","0","0","0","0","0","0","0","1","2019-04-09 17:58:43","2019-11-21 12:56:40","epkdoc01","epkdoc01"
"21276","4",,,"0","0","0","0","0","0","0","0","1","2019-04-09 17:58:43","2019-11-21 12:56:40","epkdoc01","epkdoc01"
"21369","1","09:00","12:00","1","1","1","1","1","1","0","0","1","2019-06-07 15:00:07","2019-11-01 17:26:14","epkdoc01","epkdoc01"
"21369","2","15:00","18:00","1","1","1","1","1","1","0","0","1","2019-06-07 15:00:07","2019-11-01 17:26:14","epkdoc01","epkdoc01"
"21369","3",,,"0","0","0","0","0","0","0","0","1","2019-06-07 15:00:07","2019-11-01 17:26:14","epkdoc01","epkdoc01"
"21369","4",,,"0","0","0","0","0","0","0","0","1","2019-06-07 15:00:07","2019-11-01 17:26:14","epkdoc01","epkdoc01"
