"hospital_no","option_group_cd","option_cd","option_name","confirm","price","tax_class","order","status","rgst","updt","created_id","updated_id"
"2","1","1","オプション1","オプションの説明","2000","0","1","1","2017-08-07 15:39:03","2017-08-07 15:39:03","A691","A691"
"2","1","2","オプション2","オプションの説明","3000","0","2","1","2017-08-07 15:39:22","2017-08-07 15:39:22","A691","A691"
"2","2","1","オプション3","オプション3の説明","3000","0","1","1","2017-08-07 15:42:44","2017-08-07 15:42:44","A691","A691"
"20000","1","1","内臓脂肪検査",,"5400","0","1","1","2017-08-04 14:30:00","2017-10-10 11:37:53","system","A2062"
"20000","2","1","エストラジオール（エストロゲン）・FSH","卵巣機能の状態が 無月経、更年期、閉経の可能性がわかります。","5400","0","1","1","2017-08-04 14:30:00","2017-10-10 11:41:07","system","A2062"
"20000","3","1","TRACP-5b…骨吸収、骨型ALP…骨形成","古くなった骨を溶かす破骨細胞や、新しい骨をつくる骨芽細胞の働きを調べる検査です。","5400","0","1","1","2017-08-04 14:30:00","2017-10-10 11:41:53","system","A2062"
"20000","4","1","抗CCP抗体","抗CCP抗体がリウマチ発症早期から陽性となり早期診断と早期治療を行う上で有力な情報となります。","3240","0","1","1","2017-08-04 14:30:00","2017-10-10 11:42:13","system","A2062"
"20000","5","1","MAST39","代表的な食物、ハウスダスト、花粉、動物の上皮などのアレルギーの原因がわかります。","16200","0","1","1","2017-08-04 14:30:00","2017-10-10 11:42:35","system","A2062"
"20000","6","1","喀痰検査","肺や気管支などの気道からはがれた痰を顕微鏡でがん細胞がないかを調べます。","3240","0","1","1","2017-08-04 14:30:00","2017-10-10 11:42:54","system","A2062"
"20000","7","1","脳梗塞・心筋梗塞リスクマーカー","動脈硬化の原因となる変性LDLとLOX-1という2つの物質を調べることで、リスクを測定します。","12000","1","1","1","2017-08-04 14:30:00","2017-10-10 11:45:35","system","A2062"
"20000","8","1","医師による面談",,"10800","0","1","1","2018-03-02 15:06:21","2018-03-02 15:06:21","A2636","A2636"
"20000","9","1","通訳",,"27000","0","1","1","2018-04-05 09:28:22","2018-04-05 09:28:22","A2062","A2062"
"20000","9","2","翻訳",,"37800","0","2","1","2018-04-05 09:28:40","2018-04-05 09:28:40","A2062","A2062"
"20001","1","1","視触診・乳腺超音波",,"7560","0","1","1","2017-08-04 14:30:00","2017-10-06 10:16:52","system","A2064"
"20001","1","2","視触診・マンモグラフィ",,"7560","0","2","1","2017-10-06 10:17:10","2017-10-06 10:17:10","A2064","A2064"
"20001","2","1","子宮頸部細胞診（医師採取）",,"5400","0","1","1","2017-08-04 14:30:00","2017-10-06 10:17:37","system","A2064"
"20001","3","1","骨塩定量測定",,"3240","0","1","1","2017-08-04 14:30:00","2017-10-06 10:20:26","system","A2064"
"20001","4","1","TSH・FT3・FT4",,"4320","0","1","1","2017-08-04 14:30:00","2017-10-06 10:20:51","system","A2064"
"20001","5","1","MRI+MRA検査",,"43200","0","1","1","2017-08-04 14:30:00","2017-10-06 10:27:09","system","A2064"
"20001","6","1","脳ドック一般","MRI+MRA検査、胸部レントゲン、心電図検査、血液検査","54000","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","6","2","脳ドック（単独）","MRI+MRA検査","43200","0","2","1","2017-10-06 10:29:24","2017-10-06 10:29:24","A2064","A2064"
"20001","7","1","頚動脈エコー",,"4860","0","1","1","2017-08-04 14:30:00","2017-10-06 10:40:12","system","A2064"
"20001","8","1","血管年齢・動脈硬化",,"6480","0","1","1","2017-08-04 14:30:00","2017-10-06 10:44:11","system","A2064"
"20001","9","1","下肢MRI検査","下肢動脈瘤","43200","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","10","1","骨盤MRI検査","子宮・卵巣・前立腺","43200","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","11","1","胃",,"4320","0","1","1","2017-08-04 14:30:00","2017-10-06 10:51:15","system","A2064"
"20001","11","2","肺",,"4320","0","2","1","2017-10-06 10:50:10","2017-10-06 10:50:10","A2064","A2064"
"20001","11","3","大腸",,"4320","0","3","1","2017-10-06 10:50:40","2017-10-06 10:50:40","A2064","A2064"
"20001","11","4","膵臓",,"4320","0","4","1","2017-10-06 10:51:59","2017-10-06 10:51:59","A2064","A2064"
"20001","11","5","肝臓",,"4320","0","5","1","2017-10-06 10:52:26","2017-10-06 10:52:26","A2064","A2064"
"20001","11","6","腎臓",,"4320","0","6","1","2017-10-06 10:52:50","2017-10-06 10:52:50","A2064","A2064"
"20001","11","7","胆嚢",,"4320","0","7","1","2017-10-06 10:53:14","2017-10-06 10:53:14","A2064","A2064"
"20001","11","8","前立腺",,"4320","0","8","1","2017-10-06 10:53:37","2017-10-06 10:53:37","A2064","A2064"
"20001","11","9","卵巣",,"4320","0","9","1","2017-10-06 10:53:59","2017-10-06 10:53:59","A2064","A2064"
"20001","11","10","子宮",,"4320","0","10","1","2017-10-06 10:54:21","2017-10-06 10:54:21","A2064","A2064"
"20001","12","1","血液検査Aセット","コレステロール、中性脂肪等20種類の検査項目","8640","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","13","1","血液検査Bセット","コレステロール、中性脂肪等11種類の検査項目","5400","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","14","1","LOX-index検査（判断料込）",,"19440","0","1","1","2017-08-04 14:30:00","2017-10-06 10:47:42","system","A2064"
"20001","15","1","ABC検診検査",,"5400","0","1","1","2017-08-04 14:30:00","2017-10-06 10:48:51","system","A2064"
