"no","es_code","corp","name","status","register","updater","rgst","updt","created_id","updated_id"
"1","1","1","ＪＲ函館本線(函館－長万部)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"2","3","1","ＪＲ函館本線(大沼－渡島砂原－森)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"3","4","1","ＪＲ函館本線(長万部－小樽)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"4","5","1","ＪＲ函館本線(小樽－旭川)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"5","6","0","ＪＲ江差線","X","0","0","2014-07-23 23:47:58","2014-07-25 10:12:02","batch","batch"
"6","8","1","ＪＲ学園都市線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"7","9","1","ＪＲ千歳線(苫小牧－札幌)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"8","10","1","ＪＲ千歳線(新千歳空港－南千歳)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"9","11","1","ＪＲ石勝線(南千歳－新得)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"10","12","1","ＪＲ石勝線(新夕張－夕張)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"11","13","1","ＪＲ室蘭本線(長万部－岩見沢)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"12","14","1","ＪＲ室蘭本線(東室蘭－室蘭)","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"13","15","1","ＪＲ日高本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"14","16","1","ＪＲ留萌本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"15","17","1","ＪＲ富良野線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"16","18","1","ＪＲ根室本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"17","19","1","ＪＲ花咲線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"18","20","1","ＪＲ宗谷本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"19","21","1","ＪＲ石北本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"20","22","1","ＪＲ釧網本線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"21","440","30","札幌市営地下鉄南北線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"22","441","30","札幌市営地下鉄東西線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"23","442","30","札幌市営地下鉄東豊線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"24","758","0","札幌市電","X","0","0","2014-07-23 23:47:58","2014-07-25 10:12:03","batch","batch"
"25","731","31","函館市電２系統","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"26","732","31","函館市電５系統","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"27","700","1","ＪＲ海峡線","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:41","batch","batch"
"28","23","1","ＪＲ東北新幹線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"29","29","1","ＪＲ五能線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"30","30","1","ＪＲ津軽線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"31","31","1","ＪＲ大湊線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"32","33","1","ＪＲ八戸線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"33","34","1","ＪＲ奥羽本線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"34","450","32","津軽鉄道","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"35","451","33","弘南鉄道大鰐線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"36","452","33","弘南鉄道弘南線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"37","680","194","ＩＧＲいわて銀河鉄道線","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"38","681","195","青い森鉄道(目時－八戸)","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
"39","682","195","青い森鉄道(八戸－青森)","1","0","0","2014-07-23 23:48:07","2017-06-29 12:02:41","batch","batch"
