"no","es_code","name","status","register","updater","rgst","updt","created_id","updated_id"
"1","1","ＪＲ","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"2","194","ＩＧＲいわて銀河鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"3","99","愛知環状鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"4","201","愛知高速交通","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"5","46","会津鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"6","195","青い森鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"7","41","秋田内陸縦貫鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"8","91","明知鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"9","156","阿佐海岸鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"10","44","阿武隈急行","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"11","143","甘木鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"12","87","アルピコ交通","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"13","207","伊賀鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"14","65","いすみ鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"15","92","伊豆急行","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"16","73","伊豆箱根鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"17","104","伊勢鉄道","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
"18","130","一畑電車","1","0","0","2014-07-23 23:47:58","2017-06-29 12:02:48","batch","batch"
