"no","es_code","pref","name","kana","x","y","status","register","updater","rgst","updt","created_id","updated_id"
"1","22828","13","東京","とうきょう","35.678083","139.770444","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:46","batch","batch"
"2","22528","13","上野","うえの","35.710333","139.78","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"3","21987","11","大宮(埼玉県)","おおみや","35.903056","139.626833","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"4","21746","9","小山","おやま","36.309778","139.8095","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"5","21736","9","宇都宮","うつのみや","36.555694","139.901444","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"6","21804","9","那須塩原","なすしおばら","36.928528","140.023944","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:46","batch","batch"
"7","21494","7","新白河","しんしらかわ","37.119749","140.191528","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"8","21483","7","郡山(福島県)","こおりやま","37.395638","140.392527","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"9","21551","7","福島(福島県)","ふくしま","37.751222","140.462444","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:46","batch","batch"
"10","21040","4","白石蔵王","しろいしざおう","37.991888","140.636277","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"11","21044","4","仙台","せんだい","38.257333","140.885444","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"12","21087","4","古川","ふるかわ","38.567694","140.971055","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:47","batch","batch"
"13","21019","4","くりこま高原","くりこまこうげん","38.746749","141.075278","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"14","20806","3","一ノ関","いちのせき","38.923638","141.141972","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"15","20934","3","水沢江刺","みずさわえさし","39.142166","141.192278","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:47","batch","batch"
"16","20844","3","北上","きたかみ","39.279222","141.125833","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"17","20873","3","新花巻","しんはなまき","39.402972","141.176833","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"18","20940","3","盛岡","もりおか","39.698611","141.14025","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:47","batch","batch"
"19","20902","3","いわて沼宮内","いわてぬまくない","39.957527","141.220638","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:44","batch","batch"
"20","20901","3","二戸","にのへ","40.256861","141.289361","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:46","batch","batch"
"21","20750","2","八戸","はちのへ","40.506361","141.434861","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:46","batch","batch"
"22","29388","2","七戸十和田","しちのへとわだ","40.717222","141.1575","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"23","20698","2","新青森","しんあおもり","40.824722","140.696944","1","0","0","2014-08-07 23:07:17","2017-06-29 12:02:45","batch","batch"
"24","20866","3","雫石","しずくいし","39.686305","140.978277","1","0","0","2014-08-07 23:07:27","2017-06-29 12:02:45","batch","batch"
"25","21221","5","田沢湖","たざわこ","39.697611","140.725694","1","0","0","2014-08-07 23:07:27","2017-06-29 12:02:45","batch","batch"
"26","21174","5","角館","かくのだて","39.588944","140.574583","1","0","0","2014-08-07 23:07:27","2017-06-29 12:02:44","batch","batch"
"27","21168","5","大曲(秋田県)","おおまがり","39.462917","140.483083","1","0","0","2014-08-07 23:07:27","2017-06-29 12:02:44","batch","batch"
"28","21137","5","秋田","あきた","39.714222","140.133111","1","0","0","2014-08-07 23:07:27","2017-06-29 12:02:43","batch","batch"
"29","22862","13","日暮里","にっぽり","35.724861","139.773916","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:46","batch","batch"
"30","22983","13","三河島","みかわしま","35.730082","139.780889","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:47","batch","batch"
"31","22995","13","南千住","みなみせんじゅ","35.729722","139.802222","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:47","batch","batch"
"32","22630","13","北千住","きたせんじゅ","35.746389","139.808333","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:44","batch","batch"
"33","22444","12","松戸","まつど","35.781111","139.903889","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:47","batch","batch"
"34","22228","12","柏","かしわ","35.858889","139.974167","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:44","batch","batch"
"35","22183","12","我孫子","あびこ","35.869416","140.014028","1","0","0","2014-08-07 23:07:37","2017-06-29 12:02:43","batch","batch"
