"epark_member_id","hospital_no","course_no","flg_display","status","rgst","updt","created_id","updated_id"
"102054","20000","0","0","1","2017-08-22 17:25:05","2017-08-22 17:25:05",NULL,NULL
"102054","20000","20002","1","1","2017-08-22 17:25:16","2017-08-22 17:25:17",NULL,NULL
"17363814","20000","20007","1","1","2017-09-04 17:14:59","2017-09-04 17:14:59",NULL,NULL
"18927963","2","0","0","1","2017-09-10 19:31:50","2017-09-10 19:31:50",NULL,NULL
"18927963","2","1","1","1","2017-09-10 19:32:02","2017-09-10 19:32:02",NULL,NULL
"16372738","20039","0","0","1","2017-09-10 21:10:40","2017-09-28 13:10:56",NULL,NULL
"16372738","20039","20178","1","X","2017-09-10 21:10:51","2017-09-28 12:47:43",NULL,NULL
"16372738","20039","20942","1","X","2017-09-10 21:11:24","2017-09-10 21:11:24",NULL,NULL
"18943510","20383","21499","1","1","2017-09-11 16:05:56","2017-09-11 16:05:56",NULL,NULL
"16372738","20098","20377","1","X","2017-09-12 10:57:50","2017-09-12 10:57:51",NULL,NULL
"16372738","20117","20460","1","X","2017-09-12 20:43:11","2017-09-15 17:18:46",NULL,NULL
"16372738","20113","21476","1","X","2017-09-12 20:46:54","2017-09-12 20:46:54",NULL,NULL
"16372738","20003","0","0","X","2017-09-13 09:34:25","2017-09-13 09:34:26",NULL,NULL
"16372738","20098","0","0","X","2017-09-13 13:36:10","2017-09-13 13:36:10",NULL,NULL
"16372738","20329","21517","1","X","2017-09-13 17:27:47","2017-09-21 15:43:37",NULL,NULL
"18855644","20098","0","0","1","2017-09-13 17:29:32","2017-09-13 17:29:32",NULL,NULL
"18855644","20039","0","0","X","2017-09-13 17:30:03","2017-09-13 17:30:03",NULL,NULL
"18966204","20009","0","0","1","2017-09-14 13:29:56","2017-09-14 13:29:56",NULL,NULL
"16372738","20023","21545","1","X","2017-09-15 16:28:14","2017-09-21 15:43:44",NULL,NULL
"16372738","20125","20483","1","X","2017-09-15 16:41:29","2017-09-21 15:43:54",NULL,NULL
"16372738","20123","21613","1","X","2017-09-15 16:49:02","2017-09-21 15:43:54",NULL,NULL
"16372738","20117","20461","1","X","2017-09-15 17:19:04","2017-09-15 17:19:05",NULL,NULL
"16372738","20117","20459","1","X","2017-09-15 17:19:53","2017-09-15 17:19:54",NULL,NULL
"16372738","20117","0","0","X","2017-09-15 17:20:39","2017-09-15 17:20:40",NULL,NULL
"19021502","20310","0","0","1","2017-09-18 11:16:07","2017-09-18 11:16:07",NULL,NULL
"19021502","20203","20892","1","1","2017-09-18 11:16:24","2017-09-18 11:16:24",NULL,NULL
"14928267","20023","21904","1","1","2017-09-19 21:53:52","2017-09-19 21:53:52",NULL,NULL
"16372738","20023","21546","1","X","2017-09-20 16:27:28","2017-09-20 16:28:01",NULL,NULL
"18778263","20060","0","0","1","2017-09-20 23:28:38","2017-09-20 23:28:38",NULL,NULL
"12292357","20003","20040","1","1","2017-09-21 08:56:33","2017-09-21 08:56:33",NULL,NULL
"17273941","20326","0","0","1","2017-09-21 09:28:37","2017-09-21 09:28:37",NULL,NULL
