"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","1","【直近予約価格】プレミアムレディースドック※増税後価格","【直近予約価格】プレミアムレディースドック※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-28 16:29:46","A3220","2019-10-02 15:15:10","0","16"
"2","15","【午後受診】人間ドック※増税後価格","【午後受診】人間ドック※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-28 16:38:15","A3220","2019-10-02 15:15:48","0","25"
"3","16","【午後受診】女性マンモグラフィ検査※増税後価格","【午後受診】女性マンモグラフィ検査※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-28 16:43:41","A3220","2019-10-02 15:16:13","0","23"
"4","17","【午後受診】女性乳がん検査（乳房診＋マンモグラフィ＋乳房エコー）※増税後価格","【午後受診】女性乳がん検査（乳房診＋マンモグラフィ＋乳房エコー）","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-28 16:50:30","A3220","2019-10-02 15:16:49","0","25"
"5","18","【午後受診】女性子宮がん検査（子宮細胞診＋経膣エコー）※増税後価格","【午後受診】女性子宮がん検査（子宮細胞診＋経膣エコー）※増税後価","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-28 16:55:22","A3220","2019-10-02 15:17:19","0","21"
"6","2","【4・5月価格】人間ドック（胃ABC検査）","【4・5月価格】人間ドック（胃ABC検査）","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 11:34:49","A3220","2019-10-01 15:54:02","0","19"
"7","3","【4・5月価格】人間ドックシンプルコース","【4・5月価格】人間ドックシンプルコース","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 11:55:06","A3220","2019-10-01 15:49:45","0","17"
"8","4","【4・5月価格】女性乳がん検査（マンモグラフィ＋乳房エコー＋腫瘍マーカー）","【4・5月価格】女性乳がん検査（マンモグラフィ＋乳房エコー＋腫瘍","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:03:36","A3220","2019-10-01 15:55:29","0","18"
"9","5","【4・5月価格】女性乳がん検診（健診＋マンモグラフィ＋乳房エコー＋腫瘍マーカー）","【4・5月価格】女性乳がん検診（健診＋マンモグラフィ＋乳房エコー","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:11:20","A3220","2019-10-01 16:00:15","0","20"
"10","6","【4・5月価格】女性子宮がん検査（子宮細胞診＋経膣エコー＋腫瘍マーカー2種）","【4・5月価格】女性子宮がん検査（子宮細胞診＋経膣エコー＋腫瘍マ","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:16:25","A3220","2019-10-01 15:57:37","0","17"
"11","7","【4・5月価格】女性子宮がん検診（健診＋子宮細胞診＋経膣エコー＋腫瘍マーカー）","【4・5月価格】女性子宮がん検診（健診＋子宮細胞診＋経膣エコー＋","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:22:26","A3220","2019-10-01 16:05:34","0","18"
"12","8","【4・5月価格】女性人間ドック（腫瘍マーカー2種）","【4・5月価格】女性人間ドック（腫瘍マーカー2種）","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:36:26","A3220","2019-10-01 16:03:14","0","16"
"13","9","【4・5月価格】女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー2種）","【4・5月価格】女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マ","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:45:18","A3220","2019-10-01 16:14:09","0","18"
"14","10","【4・5月価格】女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー8種）","【4・5月価格】女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マ","0","0","0","0","0",\N,"7","6000","1","A2636","2018-03-29 12:52:57","A3220","2019-10-01 16:10:27","0","19"
"15","19","人間ドックシンプルコース※増税後価格","人間ドックシンプルコース※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 12:55:33","A3220","2019-10-02 15:17:44","0","22"
"16","20","人間ドック（胃ABC検査）※増税後価格","人間ドック（胃ABC検査）※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 12:57:50","A3220","2019-10-02 15:18:10","0","22"
"17","21","女性乳がん検査（マンモグラフィ＋乳房エコー＋腫瘍マーカー）※増税後価格","女性乳がん検査（マンモグラフィ＋乳房エコー＋腫瘍マーカー）※増税","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:00:13","A3220","2019-10-02 15:18:32","0","22"
"18","22","女性子宮がん検査（子宮細胞診＋経膣エコー＋腫瘍マーカー2種）※増税後価格","女性子宮がん検査（子宮細胞診＋経膣エコー＋腫瘍マーカー2種）※増","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:02:10","A3220","2019-10-02 15:19:02","0","21"
"19","23","女性乳がん検診（健診＋マンモグラフィ＋乳房エコー＋腫瘍マーカー）※増税後価格","女性乳がん検診（健診＋マンモグラフィ＋乳房エコー＋腫瘍マーカー）","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:05:03","A3220","2019-10-02 15:19:23","0","25"
"20","24","女性人間ドック（腫瘍マーカー2種）※増税後価格","女性人間ドック（腫瘍マーカー2種）※増税後価格","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:06:15","A3220","2019-10-02 15:21:05","0","22"
"21","25","女性子宮がん検診（健診＋子宮細胞診＋経膣エコー＋腫瘍マーカー）※増税後価格","女性子宮がん検診（健診＋子宮細胞診＋経膣エコー＋腫瘍マーカー）※","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:07:09","A3220","2019-10-02 15:20:12","0","22"
"22","26","女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー8種）※増税後価格","女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー8種）※増","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:08:38","A3220","2019-10-02 15:20:32","0","24"
"23","27","女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー2種）※増税後価格","女性人間ドック（乳がん検査＋子宮がん検査＋腫瘍マーカー2種）※増","1","0","0","0","0",\N,"7","2000","1","A2636","2018-03-29 13:09:34","A3220","2019-10-02 15:20:51","0","23"
