"APPOINT_ID","TRADE_ID","ORDER_ID","CARD_PAYMENT_AMOUNT","PAYMENT_METHOD","CASHPO_USED_AMOUNT","AMOUNT_UNSETTLED","PAYMENT_STATUS","FINALIZE_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"158","5b90c220935be20180906145856","3614451","90","1","0","5","3",\N,\N,"2018-09-06 14:59:24","B37396","2018-09-06 15:10:29","3"
"159","5b90c55d3c79120180906151245","3614507","90000","1","0","0","3",\N,\N,"2018-09-06 15:12:59","CUSTUMER","2018-09-06 15:32:12","2"
"160","5b90c5984557f20180906151344","3614512","90000","1","0","0","3",\N,\N,"2018-09-06 15:14:03","CUSTUMER","2018-09-06 16:20:50","2"
"161","5b90c5f88b83620180906151520","3614515","270000","1","0","0","3",\N,\N,"2018-09-06 15:15:32","CUSTUMER","2018-09-06 15:47:17","2"
"163","5b90c703c77b720180906151947","3614536","180","1","0","0","3",\N,\N,"2018-09-06 15:20:11","B37396","2018-09-06 15:20:44","2"
"164","5b90c7b6bb77720180906152246","3614548","180","1","0","0","3",\N,\N,"2018-09-06 15:23:07","B37396","2018-09-06 15:23:31","2"
"166","5b90c83b1589920180906152459","3614555","180","1","0","0","3",\N,\N,"2018-09-06 15:25:18","B37396","2018-09-06 15:25:36","2"
"167","5b90c899602d320180906152633","3614557","300","1","0","0","9","2018-09-28 00:00:06",\N,"2018-09-06 15:26:43","OP200","2018-09-28 00:00:06","2"
"169","5b90c8a0885d520180906152640","3614559","180","1","0","0","3",\N,\N,"2018-09-06 15:26:58","B37396","2018-09-06 15:27:31","2"
"170","5b90c90cb8cfc20180906152828","3614565","300","1","0","0","3",\N,\N,"2018-09-06 15:28:43","B37396","2018-09-06 15:33:10","2"
"171","5b90c9121532d20180906152834","3614566","180","1","0","0","3",\N,\N,"2018-09-06 15:28:51","B37396","2018-09-06 15:29:21","2"
"172","5b90c9b19657520180906153113","3614576","300","1","0","0","9","2018-09-28 00:00:08",\N,"2018-09-06 15:31:30","OP200","2018-09-28 00:00:08","2"
"174","5b90c9b563ed420180906153117","3614577","180","1","0","0","3",\N,\N,"2018-09-06 15:31:35","B37396","2018-09-06 15:31:53","2"
"176","5b90ca63ac24720180906153411","3614585","180","1","0","0","3",\N,\N,"2018-09-06 15:34:30","B37396","2018-09-06 15:34:58","2"
"178","5b90ca9f1b49f20180906153511","3614588","180","1","0","0","1",\N,\N,"2018-09-06 15:35:39",\N,\N,"1"
"180","5b90caba5061e20180906153538","3614590","180","1","0","0","3",\N,\N,"2018-09-06 15:35:52","B37396","2018-09-06 15:36:20","2"
"181","5b90caeab0b6120180906153626","3614592","180","1","0","0","1",\N,\N,"2018-09-06 15:36:47",\N,\N,"1"
"182","5b90cb5a9730820180906153818","3614598","400","1","0","0","2","2018-09-07 00:00:06",\N,"2018-09-06 15:38:34","OP200","2018-09-07 00:00:06","2"
"183","5b90cb9b0a1dd20180906153923","3614604","300","1","100","0","2","2018-09-07 00:00:07",\N,"2018-09-06 15:39:36","OP200","2018-09-07 00:00:07","2"
"184","5b90cbc16e30320180906154001","0","0","0","400","0","2","2018-09-07 00:00:08",\N,"2018-09-06 15:40:14","OP200","2018-09-07 00:00:08","2"
"185","5b90cbf91ff2a20180906154057","3614611","2400","1","0","0","2","2018-09-07 00:00:08",\N,"2018-09-06 15:41:06","OP200","2018-09-07 00:00:08","2"
"186","5b90cc21c3fd020180906154137","3614615","400","1","0","0","1",\N,\N,"2018-09-06 15:41:47",\N,\N,"1"
"187","5b90ccef197d620180906154503","3614631","300","1","0","0","1",\N,\N,"2018-09-06 15:45:12",\N,\N,"1"
"194","5b90cfaee252e20180906155646","3614670","400","1","0","0","3",\N,\N,"2018-09-06 15:56:57","B37396","2018-09-06 15:57:45","2"
"195","5b90d07d5ab2e20180906160013","3614684","180000","1","0","0","1",\N,\N,"2018-09-06 16:00:31",\N,\N,"1"
"196","5b90d0cca9e1620180906160132","3614687","300","1","0","0","1",\N,\N,"2018-09-06 16:01:45",\N,\N,"1"
"316","5c70dc20870b920190223143736","4387834","9","1","0","0","9","2019-02-23 15:30:42",\N,"2019-02-23 14:39:15","OP200","2019-02-23 15:30:42","3"
"321","5c70dd428b6cb20190223144226","4387856","8","1","0","0","3",\N,\N,"2019-02-23 14:42:48","B37396","2019-02-23 14:44:25","3"
"342","5c70e5db3ab0720190223151907","4388039","90","1","0","0","1",\N,\N,"2019-02-23 15:20:10",\N,\N,"1"
