"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A3251","2019-09-10 17:34:57","A3251","2019-09-30 11:49:25","2"
"2","2","10","A3220","2019-09-10 17:33:24","A3220",\N,"1"
"3","2","12","A3251","2019-09-10 17:33:27","A3251","2019-09-30 11:52:00","2"
"4","2","13","A3220","2019-09-10 17:33:29","A3220",\N,"1"
"5","2","11","A3220","2019-09-10 17:33:26","A3220",\N,"1"
"6","3","1","A1589","2018-03-28 18:17:41","A1589",\N,"1"
"7","2","9","A3220","2019-09-10 17:33:22","A3220",\N,"1"
"8","2","8","A3251","2019-09-10 17:33:21","A3251","2019-09-30 11:50:46","2"
"9","2","7","A3251","2019-09-10 17:33:19","A3251","2019-09-30 11:51:25","2"
"10","2","6","A3251","2019-09-10 17:33:17","A3251","2019-09-30 11:52:42","2"
"11","2","5","A3251","2019-09-10 17:33:15","A3251","2019-09-30 11:53:08","2"
"12","2","4","A3251","2019-09-10 17:33:14","A3251","2019-09-30 11:55:03","2"
"13","2","3","A3251","2019-09-10 17:33:12","A3251","2019-09-30 11:55:29","2"
"14","2","2","A3251","2019-09-10 17:33:11","A3251","2019-09-30 11:56:00","2"
"15","2","1","A3251","2019-09-10 17:33:09","A3251","2019-09-30 11:56:28","2"
"18","5","1","A3271","2019-09-10 17:35:15","A3271","2019-11-29 10:30:54","4"
"19","4","1","A3271","2019-09-10 17:34:22","A3271","2019-11-29 10:32:28","4"
"20","4","2","A3271","2019-09-10 17:34:23","A3271","2019-11-29 10:31:10","5"
"21","4","4","A3271","2019-09-10 17:34:27","A3271","2019-11-29 10:33:05","4"
"22","4","3","A3271","2019-09-10 17:34:25","A3271","2019-11-29 10:33:25","4"
"23","4","5","A3271","2019-09-10 17:34:28","A3271","2019-11-29 10:34:08","4"
"24","4","9","A3271","2019-09-10 17:34:35","A3271","2019-11-29 10:32:45","4"
"25","4","7","A3271","2019-09-10 17:34:32","A3271","2019-11-29 10:31:28","4"
"26","4","6","A3271","2019-09-10 17:34:30","A3271","2019-11-29 10:31:51","4"
"27","4","8","A3271","2019-09-10 17:34:33","A3271","2019-11-29 10:32:13","4"
