"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"7","1","2018-11-07","2019-05-26","A2867","2018-11-07 12:09:03","A2636","2019-05-27 11:41:23","2"
"7","2","2019-05-27","2019-06-30","A2636","2019-05-27 11:41:23","A2636","2019-05-27 11:41:23","1"
"7","3","2019-07-01","2019-10-13","A2636","2019-05-27 11:41:23","B86962","2019-09-24 14:28:00","3"
"7","4","2019-10-26","2019-10-26","B86962","2019-09-20 12:16:48","B86962","2019-09-20 12:16:48","1"
"7","5","2019-10-27","2019-11-03","B86962","2019-09-20 12:16:48","B86962","2019-09-24 14:28:00","2"
"7","6","2019-10-14","2019-10-14","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","7","2019-10-15","2019-10-21","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","8","2019-10-22","2019-10-22","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","9","2019-10-23","2019-10-25","B86962","2019-09-24 14:28:00","B86962",\N,"1"
"7","10","2019-11-04","2019-11-04","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","11","2019-11-05","2019-11-22","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","12","2019-11-23","2019-11-23","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","13","2019-11-24","2019-12-31","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","14","2020-01-01","2020-01-01","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","15","2020-01-02","2020-01-12","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","16","2020-01-13","2020-01-13","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","17","2020-01-14","2020-02-10","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","18","2020-02-11","2020-02-11","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","19","2020-02-12","2020-02-23","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","2"
"7","20","2020-02-24","2020-02-24","B86962","2019-09-24 14:28:00","B86962","2019-09-24 14:28:00","1"
"7","21","2020-02-25",\N,"B86962","2019-09-24 14:28:00","B86962",\N,"1"
"8","1","2018-11-07",\N,"A2636","2018-11-07 15:05:29","A2636","2018-11-07 15:05:29","1"
"9","1","2018-11-07",\N,"A2636","2018-11-07 15:05:58","A2636","2018-11-07 15:05:58","1"
"10","1","2019-02-14","2019-03-12","A2636","2019-02-14 13:24:42","A2062","2019-03-01 16:11:58","2"
"10","2","2019-03-13","2019-03-13","A2062","2019-03-01 16:11:58","A2062","2019-03-01 16:11:58","1"
"10","3","2019-03-14","2019-05-26","A2062","2019-03-01 16:11:58","A2636","2019-05-27 11:41:02","2"
"10","4","2019-05-27","2019-06-30","A2636","2019-05-27 11:41:02","A2636","2019-05-27 11:41:02","1"
"10","6","2019-07-01","2019-07-01","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
"10","8","2019-07-02","2019-07-02","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
"10","10","2019-07-03","2019-07-03","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
"10","12","2019-07-04","2019-07-04","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
"10","14","2019-07-05","2019-07-05","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
"10","16","2019-07-06","2019-07-06","B86962","2019-06-17 12:13:59","B86962","2019-06-17 12:13:59","1"
