"LINE_ID","SHIFT_CALENDAR_ID","SHIFT_ID","REPETITION_TP","REPETITION_DATA","SETTING_NAME","TIMEZONE_PATTERN_ID","DISPLAY_TEXT","BACKGROUND_COLOR","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"10","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"10","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"10","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"10","1","2","2","9_2","繰り返し設定2","2","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"10","1","2","2","9_4","繰り返し設定2","2","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"10","1","2","2","9_5","繰り返し設定2","2","","FFFFFF","A2062","2017-08-24 09:29:33","A2062","2017-08-24 09:29:33","1"
"13","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2062","2017-08-24 09:38:50","A2062","2017-08-24 09:38:50","1"
"13","1","2","2","9_3","繰り返し設定2","2","","FFFFFF","A2062","2017-08-24 09:38:50","A2062","2017-08-24 09:38:50","1"
"13","1","2","2","9_4","繰り返し設定2","2","","FFFFFF","A2062","2017-08-24 09:38:50","A2062","2017-08-24 09:38:50","1"
"13","2","1","2","9_1","繰り返し設定1","3","","FFFFFF","B38205","2017-12-06 15:30:46","B38205","2017-12-06 15:30:46","1"
"13","4","1","2","9_3","繰り返し設定1","5","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","5","1","2","9_4","繰り返し設定1","6","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","6","1","2","9_3","繰り返し設定1","7","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","7","1","2","9_4","繰り返し設定1","8","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","10","1","2","9_4","繰り返し設定1","11","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","12","1","2","9_3","繰り返し設定1","13","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","13","1","2","9_4","繰り返し設定1","14","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","15","1","2","9_3","繰り返し設定1","16","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","16","1","2","9_4","繰り返し設定1","17","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","18","1","2","9_3","繰り返し設定1","19","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","19","1","2","9_4","繰り返し設定1","20","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","21","1","2","9_4","繰り返し設定1","22","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","23","1","2","9_3","繰り返し設定1","24","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","24","1","2","9_4","繰り返し設定1","25","","FFFFFF","B38205","2018-01-18 17:06:43","B38205","2018-01-18 17:06:43","1"
"13","25","1","2","9_1","繰り返し設定1","26","","FFFFFF","B38205","2018-01-18 17:06:47","B38205","2018-01-18 17:06:47","1"
"13","26","1","2","9_1","繰り返し設定1","27","","FFFFFF","B38205","2018-01-18 17:06:47","B38205","2018-01-18 17:06:47","1"
"13","27","1","2","9_1","繰り返し設定1","28","","FFFFFF","B38205","2018-01-18 17:06:47","B38205","2018-01-18 17:06:47","1"
"13","28","1","2","9_1","繰り返し設定1","29","","FFFFFF","B38205","2018-01-18 17:06:47","B38205","2018-01-18 17:06:47","1"
"13","29","1","2","9_1","繰り返し設定1","30","","FFFFFF","B38205","2018-01-18 17:06:48","B38205","2018-01-18 17:06:48","1"
"13","30","1","2","9_1","繰り返し設定1","31","","FFFFFF","B38205","2018-01-18 17:06:48","B38205","2018-01-18 17:06:48","1"
"13","31","1","2","9_1","繰り返し設定1","32","","FFFFFF","B38205","2018-01-18 17:06:48","B38205","2018-01-18 17:06:48","1"
"13","32","1","2","9_3","繰り返し設定1","33","","FFFFFF","B38205","2018-01-19 11:32:39","B38205","2018-01-19 11:32:39","1"
"13","33","1","2","9_1","繰り返し設定1","34","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","34","1","2","9_3","繰り返し設定1","35","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","35","1","2","9_4","繰り返し設定1","36","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","36","1","2","9_1","繰り返し設定1","37","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","37","1","2","9_3","繰り返し設定1","38","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","38","1","2","9_4","繰り返し設定1","39","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","39","1","2","9_1","繰り返し設定1","40","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","40","1","2","9_3","繰り返し設定1","41","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","41","1","2","9_4","繰り返し設定1","42","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","42","1","2","9_1","繰り返し設定1","43","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","43","1","2","9_3","繰り返し設定1","44","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","44","1","2","9_4","繰り返し設定1","45","","FFFFFF","B38205","2018-02-02 11:09:51","B38205","2018-02-02 11:09:51","1"
"13","47","1","2","9_4","繰り返し設定1","48","","FFFFFF","B38205","2018-02-28 14:28:50","B38205","2018-02-28 14:28:50","1"
"13","52","1","2","9_3","繰り返し設定1","53","","FFFFFF","B38205","2018-02-28 14:28:51","B38205","2018-02-28 14:28:51","1"
"13","53","1","2","9_4","繰り返し設定1","54","","FFFFFF","B38205","2018-02-28 14:28:51","B38205","2018-02-28 14:28:51","1"
"13","55","1","2","9_3","繰り返し設定1","56","","FFFFFF","B38205","2018-02-28 14:28:51","B38205","2018-02-28 14:28:51","1"
"13","56","1","2","9_4","繰り返し設定1","57","","FFFFFF","B38205","2018-02-28 14:28:51","B38205","2018-02-28 14:28:51","1"
"13","60","1","2","9_1","繰り返し設定1","61","","FFFFFF","B38205","2018-02-28 14:35:04","B38205","2018-02-28 14:35:04","1"
"13","62","1","2","9_1","繰り返し設定1","63","","FFFFFF","B38205","2018-02-28 14:35:04","B38205","2018-02-28 14:35:04","1"
"13","63","1","2","9_1","繰り返し設定1","64","","FFFFFF","B38205","2018-02-28 14:35:04","B38205","2018-02-28 14:35:04","1"
"13","64","1","2","9_1","繰り返し設定1","65","","FFFFFF","B38205","2018-02-28 14:35:04","B38205","2018-02-28 14:35:04","1"
"13","65","1","2","9_1","繰り返し設定1","66","","FFFFFF","B38205","2018-03-29 11:34:22","B38205","2018-03-29 11:34:22","1"
"13","66","1","2","9_3","繰り返し設定1","67","","FFFFFF","B38205","2018-03-29 11:34:22","B38205","2018-03-29 11:34:22","1"
"13","67","1","2","9_4","繰り返し設定1","68","","FFFFFF","B38205","2018-03-29 11:34:22","B38205","2018-03-29 11:34:22","1"
"13","68","1","2","9_1","繰り返し設定1","69","","FFFFFF","B38205","2018-03-29 11:34:22","B38205","2018-03-29 11:34:22","1"
"13","69","1","2","9_3","繰り返し設定1","70","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","70","1","2","9_4","繰り返し設定1","71","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","71","1","2","9_1","繰り返し設定1","72","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","72","1","2","9_3","繰り返し設定1","73","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","73","1","2","9_4","繰り返し設定1","74","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","74","1","2","9_1","繰り返し設定1","75","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","75","1","2","9_3","繰り返し設定1","76","","FFFFFF","B38205","2018-03-29 11:34:23","B38205","2018-03-29 11:34:23","1"
"13","77","1","2","9_1","繰り返し設定1","78","","FFFFFF","B38205","2018-04-09 14:31:49","B38205","2018-04-09 14:31:49","1"
"13","78","1","2","9_3","繰り返し設定1","79","","FFFFFF","B38205","2018-04-16 17:14:53","B38205","2018-04-16 17:14:53","1"
"13","79","1","2","9_3","繰り返し設定1","80","","FFFFFF","B38205","2018-04-19 11:01:20","B38205","2018-04-19 11:01:20","1"
"13","80","1","2","9_4","繰り返し設定1","81","","FFFFFF","B38205","2018-04-19 11:01:20","B38205","2018-04-19 11:01:20","1"
"13","81","1","2","9_1","繰り返し設定1","82","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","82","1","2","9_3","繰り返し設定1","83","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","83","1","2","9_4","繰り返し設定1","84","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","85","1","2","9_3","繰り返し設定1","86","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","87","1","2","9_1","繰り返し設定1","88","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","88","1","2","9_3","繰り返し設定1","89","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","89","1","2","9_4","繰り返し設定1","90","","FFFFFF","B38205","2018-05-17 10:05:30","B38205","2018-05-17 10:05:30","1"
"13","90","1","2","9_1","繰り返し設定1","91","","FFFFFF","B38205","2018-05-17 10:05:31","B38205","2018-05-17 10:05:31","1"
"13","92","1","2","9_4","繰り返し設定1","93","","FFFFFF","B38205","2018-05-17 10:05:31","B38205","2018-05-17 10:05:31","1"
"13","93","1","2","9_1","繰り返し設定1","94","","FFFFFF","B38205","2018-05-17 10:05:31","B38205","2018-05-17 10:05:31","1"
"13","94","1","2","9_3","繰り返し設定1","95","","FFFFFF","B38205","2018-05-17 10:13:12","B38205","2018-05-17 10:13:12","1"
"13","95","1","2","9_4","繰り返し設定1","96","","FFFFFF","B38205","2018-05-17 10:13:12","B38205","2018-05-17 10:13:12","1"
"13","96","1","2","9_4","繰り返し設定1","97","","FFFFFF","B38205","2018-05-17 10:13:12","B38205","2018-05-17 10:13:12","1"
"13","97","1","2","9_3","繰り返し設定1","98","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","98","1","2","9_4","繰り返し設定1","99","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","99","1","2","9_1","繰り返し設定1","100","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","100","1","2","9_3","繰り返し設定1","101","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","101","1","2","9_4","繰り返し設定1","102","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","102","1","2","9_1","繰り返し設定1","103","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","103","1","2","9_3","繰り返し設定1","104","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","104","1","2","9_4","繰り返し設定1","105","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","109","1","2","9_3","繰り返し設定1","110","","FFFFFF","B38205","2018-06-11 14:25:07","B38205","2018-06-11 14:25:07","1"
"13","111","1","2","9_3","繰り返し設定1","112","","FFFFFF","B38205","2018-06-28 14:02:39","B38205","2018-06-28 14:02:39","1"
"13","113","1","2","9_3","繰り返し設定1","114","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
"13","114","1","2","9_4","繰り返し設定1","115","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
"13","115","1","2","9_1","繰り返し設定1","116","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
"13","117","1","2","9_4","繰り返し設定1","118","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
"13","118","1","2","9_3","繰り返し設定1","119","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
"13","119","1","2","9_4","繰り返し設定1","120","","FFFFFF","B38205","2018-07-02 15:23:22","B38205","2018-07-02 15:23:22","1"
