"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"1","2","1","2017-11-06","1","東京東病院標準","帯1","0",\N,"3","0","0000","2300","1","9",\N,"CUSTUMER","2017-10-06 21:59:41","B37813","2017-10-16 12:00:13","0","1"
"2","2",\N,"1","2","1","2017-11-06","1","東京東病院標準","帯1","0",\N,"3","0","0000","2300","1","1","1","CUSTUMER","2017-10-06 21:59:41","B37813","2017-10-16 12:00:13","0","1"
"3","2",\N,"1","2","1","2017-12-01","5","標準","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2017-11-14 13:33:23","A2062","2017-11-14 13:33:23","0","1"
"4","2",\N,"1","2","1","2017-12-01","5","標準","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2017-11-14 13:33:23","A2062","2017-11-14 13:33:23","0","1"
"5","2",\N,"1","6","1","2018-02-16","5","標準","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-02-01 12:59:16","B37813","2018-02-05 12:42:11","0","1"
"6","2",\N,"1","6","1","2018-02-16","5","標準","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-02-01 12:59:16","B37813","2018-02-05 12:42:11","0","1"
"7","2",\N,"1","8","1","2018-07-27","5","標準","帯1","0",\N,"3","0","0000","2300","1","9",\N,"CUSTUMER","2018-07-01 15:23:25","CUSTUMER","2018-07-01 15:23:25","0","1"
"8","2",\N,"1","8","1","2018-07-27","5","標準","帯1","0",\N,"3","0","0000","2300","1","1","1","CUSTUMER","2018-07-01 15:23:25","CUSTUMER","2018-07-01 15:23:25","0","1"
"9","2",\N,"1","11","1","2018-08-24","5","標準","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A2064","2018-07-09 11:31:06","B37813","2018-08-13 18:41:15","0","1"
"10","2",\N,"1","11","1","2018-08-24","5","標準","帯1","0",\N,"2","0","0000","2300","1","1","1","A2064","2018-07-09 11:31:06","B37813","2018-08-13 18:41:15","0","1"
