"IDENT_KEY","IDENT_NAME","KEY_CODE","KEY_VALUE","KEY_TEXTAREA_VALUE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"C202","メールアドレス","10","unei@eparkdock.com","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"C202","差出人","11","unei@eparkdock.com","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"E812","一斉配信メールサンプルの表示切替","05","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"E812","一斉配信メールサンプルのサンプル","06","","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"E817","管理画面操作履歴保持期限","01","12","","system","2014-12-02 03:36:13","system","2016-02-24 14:32:40","1"
"H001","保存期間区分","01","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M001","院内予約のメール送信設定 予約登録時の配信設定","01","1","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","院内予約のメール送信設定 予約変更時の配信設定","02","1","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","院内予約のメール送信設定 予約キャンセル時の配信設定","03","1","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約の事前確認メール 送信日時","04","9","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M001","予約メールの転送設定","05","0","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約メールの転送メールアドレス（院内）","06","","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約メールの転送メールアドレス（院外）","07","","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約メールの送信元（差出人）メールアドレス","08","yoyaku@karadadock.jp","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約メールの署名","09","こはや脳神経外科クリニック","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M001","予約の事前確認メール 送信日時","10","1","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M001","予約の事前確認メール 配信設定","12","1","","system","2015-03-13 20:37:48","system","2015-03-13 20:37:48","1"
"M001","予約の事前確認SMS通知 配信設定","15","予約のご案内\
ご来院お待ちしております",\N,"system","2016-05-31 19:45:44","system","2016-05-31 19:45:44","1"
"M001","予約の事前確認メール 送信日1","32","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","予約の事前確認メール 送信時刻1","33","9","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","予約の事前確認メール 送信日2","34","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","予約の事前確認メール 送信時刻2","35","9","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","予約の事前確認メール 送信日3","36","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","予約の事前確認メール 送信時刻3","37","9","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前通知メールの配信設定1","38","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前通知メールの配信設定2","39","0","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前通知メールの配信設定3","40","0","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","プッシュ通知の配信設定1","41","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","プッシュ通知の配信設定2","42","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","プッシュ通知の配信設定3","43","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前確認SMS通知の配信設定1","44","1","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前確認SMS通知の配信設定2","45","0","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前確認SMS通知の配信設定3","46","0","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M001","事前確認SMS通知のキャンセル率での配信設定1","47","0","","system","2017-07-07 13:13:23","system","2017-07-07 13:13:23","1"
"M002","表示時間（外部）　開始時間","01","9","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","表示時間（外部）　終了時間","02","19","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","月曜日　名称","03","月","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","火曜日　名称","04","火","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","水曜日　名称","05","水","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","木曜日　名称","06","木","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","金曜日　名称","07","金","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","土曜日　名称","08","土","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","日曜日　名称","09","日","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","表示ピッチ","10","30","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","電話番号","11","0120-936-547","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","医院名","12","こはや脳神経外科クリニック","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M002","担当医へのメッセージの案内文","13","担当医へのメッセージ、 電話がつながりやすい 時間があればこの欄に ご記入ください。","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","予約内容の確認の案内文","14","","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","郵便番号","15","6550026","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","都道府県","16","28","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","市区郡","17","神戸市垂水区","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","町村字番地","18","陸ノ町２－３","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","建物名","19","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅1 路線名","20","ＪＲ山陽本線","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅1 駅名","21","垂水駅","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅1 出口","22","西口","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅1 手段","23","1","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅1 所要時間（分）","24","3","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅2 路線名","25","山陽電鉄本線","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅2 駅名","26","山陽垂水駅","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅2 出口","27","西口","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅2 手段","28","1","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅2 所要時間（分）","29","3","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅3 路線名","30","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅3 駅名","31","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅3 出口","32","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅3 手段","33","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅3 所要時間（分）","34","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅4 路線名","35","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅4 駅名","36","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅4 出口","37","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅4 手段","38","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅4 所要時間（分）","39","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅5 路線名","40","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅5 駅名","41","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅5 出口","42","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅5 手段","43","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","最寄り駅5 所要時間（分）","44","","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","PPC表示設定","45","1","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M002","メールアドレス","46","dock@kohaya.com","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","FAX番号","47","078-704-3122","","A1448","2015-02-05 15:54:20","A1474","2016-11-25 20:09:55","4"
"M002","連絡方法の希望受付","49","0","","A1474","2016-11-25 20:09:55","A1474","2016-11-25 20:09:55","1"
"M002","チェアモードの利用","59","0","","system","2017-06-21 10:44:23","system","2017-06-21 10:44:23","1"
"M101","月間カレンダーの表示を開始する曜日 ","01","7","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M101","本日表示の設定","02","FDD04E","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M101","予約あり表示の設定","03","F29C9F","","system","2014-12-02 03:36:13","A1474","2016-11-25 20:09:55","5"
"M101","終了の表示の設定","04","AAAAAA","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","表示時間（内部）　開始時間","05","8","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","表示時間（内部）　終了時間","06","20","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　月曜日","07","E69138","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　火曜日","08","674EA7","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　水曜日","09","3D85C6","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　木曜日","10","6AA84F","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　金曜日","11","F1C232","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　土曜日","12","A64D79","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","曜日色設定　日曜日","13","CC0000","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","本ラインの色設定","14","FEE4B2","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","予備ラインの色設定","15","D5ECFE","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","受付の表示の設定","16","ADD8E6","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M101","診療中の表示の設定","17","FFB6C1","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M102","予約枠設定 表示項目１","01","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M102","予約枠設定 表示項目２","02","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M102","予約枠設定 表示項目３","03","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M102","予約枠設定 表示項目４","04","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M103","PDF出力時の予約枠 表示項目１","01","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M103","PDF出力時の予約枠 表示項目２","02","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M103","PDF出力時の予約枠 表示項目３","03","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M103","PDF出力時の予約枠 表示項目４","04","0","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"M104","共有事項の設定値","01","","","system","2014-12-02 03:36:13","system","2014-12-02 03:36:13","1"
"O101","名称","01","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","郵便番号","02","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","都道府県","03","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","市区町村","04","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","町名字番地","05","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","建物名","06","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","電話番号","07","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","その他(受付時間や診療科目など)","08","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","表示時間　開始時間","09","00","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","表示時間　終了時間","10","23","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","氏名の仮名入力","11","1","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","生年月日の入力","12","1","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","保険証確認機能","13","0","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","こっそり案内機能","14","0","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","受付・予約メモの印刷","18","1","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O101","スケジュール管理画面デザイン切替","20","0","","system","2017-09-28 10:31:50","system","2017-09-28 10:31:50","1"
"O101","案内板デザイン切替","21","0","","system","2018-04-26 16:02:55","system","2018-04-26 16:02:55","1"
"O102","顧客ランク1","01","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O102","顧客ランク2","02","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O102","顧客ランク3","03","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O102","顧客ランク4","04","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O102","顧客ランク5","05","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O103","汎用フラグ1","01","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O103","汎用フラグ2","02","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O103","汎用フラグ3","03","","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
"O104","ライン","01","受付内容","","system","2017-08-08 03:18:51","system","2017-08-08 03:18:51","1"
