"APPOINT_ID","TRADE_ID","ORDER_ID","CARD_PAYMENT_AMOUNT","PAYMENT_METHOD","CASHPO_USED_AMOUNT","AMOUNT_UNSETTLED","PAYMENT_STATUS","FINALIZE_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"2","5b72acbc5933820180814191940","201049780","0","1","0","0","3",\N,\N,"2018-08-14 19:21:09","CUSTUMER","2018-08-15 13:10:12","2"
"4","5b7383fcbc4e020180815103804","201049783","0","1","0","0","3",\N,\N,"2018-08-15 10:38:22","CUSTUMER","2018-08-15 13:13:10","2"
"5","5b73ab73eb6aa20180815132627","201049788","0","1","0","0","3",\N,\N,"2018-08-15 13:26:43","CUSTUMER","2018-08-15 14:22:26","2"
"7","5b73b4bf9551920180815140607","201049790","0","1","0","0","3",\N,\N,"2018-08-15 14:06:23","CUSTUMER","2018-08-15 14:21:27","2"
"10","5b73c84fcecb220180815152935","201049803","0","1","0","0","1",\N,\N,"2018-08-15 15:31:20",\N,\N,"1"
"11","5b73c8115b4f520180815152833","201049804","0","1","0","0","1",\N,\N,"2018-08-15 15:34:01",\N,\N,"1"
"12","5b73db453c17a20180815165029","201049809","67966","1","500","0","2","2018-08-15 20:00:06",\N,"2018-08-15 16:51:16","OP200","2018-08-15 20:00:06","2"
"13","5b73db7ad8ef420180815165122","201049810","64666","1","800","0","2","2018-08-20 17:30:05",\N,"2018-08-15 16:52:09","OP200","2018-08-20 17:30:05","2"
"14","5b73dc4f3104320180815165455","201049811","64366","1","1100","0","1",\N,\N,"2018-08-15 16:55:15",\N,\N,"1"
"15","5b73e0b933bfb20180815171345","201049815","63666","1","1800","0","1",\N,\N,"2018-08-15 17:14:08",\N,\N,"1"
"17","5b73e42fc445920180815172831","201049818","64466","1","0","0","1",\N,\N,"2018-08-15 17:28:52",\N,\N,"1"
"19","5b73eb54683bc20180815175900","201049823","68466","1","0","0","3","2018-08-15 20:00:07",\N,"2018-08-15 17:59:42","CUSTUMER","2018-08-15 20:08:07","3"
"21","5b73ef8b327ff20180815181659","201049826","65466","1","0","0","2","2018-08-15 20:00:07",\N,"2018-08-15 18:17:24","OP200","2018-08-15 20:00:07","2"
"28","5b73f8eaeffb820180815185658","201049828","65466","1","0","0","1",\N,\N,"2018-08-15 18:57:35",\N,\N,"1"
"29","5b7401891acbe20180815193345","201049829","65466","1","0","0","2","2018-08-15 20:30:01",\N,"2018-08-15 19:34:13","OP200","2018-08-15 20:30:01","2"
"31","5b7416931736d20180815210331","201049830","64366","1","1100","0","1",\N,\N,"2018-08-15 21:03:49",\N,\N,"1"
"32","5b741b6780d8b20180815212407","201049831","69966","1","500","0","1",\N,\N,"2018-08-15 21:24:33",\N,\N,"1"
"35","5b75312b88a3920180816170915","201049865","62866","1","2600","0","1",\N,\N,"2018-08-16 17:09:38",\N,\N,"1"
"36","5b753e7abceb420180816180602","201049868","62866","1","2600","0","1",\N,\N,"2018-08-16 18:06:26",\N,\N,"1"
"37","5b7b7f1c60d4520180821115524","201049993","67966","1","500","1000","2","2018-08-22 11:00:05",\N,"2018-08-21 11:55:49","OP200","2018-08-22 11:00:05","3"
"39","5b7b83ed0d4e020180821121557","201049995","62566","1","2900","0","2","2018-08-22 18:30:06",\N,"2018-08-21 12:16:17","OP200","2018-08-22 18:30:06","3"
"40","5b7b88426e91f20180821123426","201049999","64366","1","1100","3000","2","2018-08-23 17:30:01",\N,"2018-08-21 12:35:05","OP200","2018-08-23 17:30:01","3"
"41","5b7b89d6cea9420180821124110","201050000","64066","1","1400","0","2","2018-08-23 17:30:03",\N,"2018-08-21 12:44:33","OP200","2018-08-23 17:30:03","2"
"42","5b7bad5fd64f520180821151247","201050017","65466","1","0","0","3",\N,\N,"2018-08-21 15:13:51","B7401","2018-08-21 18:56:38","2"
"43","5b7bb108e507f20180821152824","201050021","68466","1","0","0","3",\N,\N,"2018-08-21 15:29:13","CUSTUMER","2018-08-21 19:06:38","2"
"45","5b7e6e1dcf55820180823171941","201050193","64466","1","0","0","3",\N,\N,"2018-08-23 17:19:54","B7401","2018-08-23 17:20:46","2"
"47","5b7f6fdb504ca20180824113923","201050217","64466","1","0","0","3",\N,\N,"2018-08-24 11:39:45","B7401","2018-08-24 11:41:07","2"
