"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","2018-01-25","2018-07-15","A2062","2018-01-25 18:35:13","A2636","2018-05-09 13:29:06","2"
"1","2","2018-07-16","2018-07-16","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","1"
"1","3","2018-07-17","2018-08-10","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","2"
"1","4","2018-08-11","2018-08-11","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","1"
"1","5","2018-08-12","2018-09-05","A2636","2018-05-09 13:29:06","B81133","2018-09-04 14:22:06","3"
"1","6","2018-09-17","2018-09-17","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","1"
"1","7","2018-09-18","2018-09-20","A2636","2018-05-09 13:29:06","B81133","2018-09-04 14:22:06","3"
"1","8","2018-09-24","2018-09-24","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","1"
"1","9","2018-09-25","2018-09-28","A2636","2018-05-09 13:29:06","B81133","2018-09-04 14:22:07","3"
"1","10","2018-10-08","2018-10-08","A2636","2018-05-09 13:29:06","A2636","2018-05-09 13:29:06","1"
"1","11","2018-10-09","2018-10-12","A2636","2018-05-09 13:29:06","B81133","2018-09-04 14:22:07","2"
"1","12","2018-09-06","2018-09-06","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","1"
"1","13","2018-09-07","2018-09-07","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","2"
"1","14","2018-09-08","2018-09-08","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","1"
"1","15","2018-09-09","2018-09-14","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","2"
"1","16","2018-09-15","2018-09-15","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","1"
"1","17","2018-09-16","2018-09-16","B81133","2018-09-04 14:22:06","B81133",\N,"1"
"1","18","2018-09-21","2018-09-21","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","1"
"1","20","2018-09-22","2018-09-22","B81133","2018-09-04 14:22:06","B81133","2018-09-04 14:22:06","1"
"1","21","2018-09-23","2018-09-23","B81133","2018-09-04 14:22:06","B81133",\N,"1"
"1","22","2018-09-29","2018-09-29","B81133","2018-09-04 14:22:07","B81133","2018-09-04 14:22:07","1"
"1","23","2018-09-30","2018-09-30","B81133","2018-09-04 14:22:07","B81133","2018-09-19 12:01:25","2"
"1","24","2018-10-13","2018-10-13","B81133","2018-09-04 14:22:07","B81133","2018-09-04 14:22:07","1"
"1","25","2018-10-14","2018-10-15","B81133","2018-09-04 14:22:07","B81133","2018-09-19 12:01:26","3"
"1","26","2018-10-27","2018-10-27","B81133","2018-09-04 14:22:07","B81133","2018-09-04 14:22:07","1"
"1","27","2018-10-28","2018-10-30","B81133","2018-09-04 14:22:07","B81133","2018-09-19 12:01:27","2"
"1","28","2018-10-01","2018-10-01","B81133","2018-09-19 12:01:25","B81133","2018-09-19 12:01:25","1"
"1","30","2018-10-02","2018-10-02","B81133","2018-09-19 12:01:25","B81133","2018-09-19 12:01:25","1"
"1","32","2018-10-03","2018-10-03","B81133","2018-09-19 12:01:26","B81133","2018-09-19 12:01:26","1"
"1","33","2018-10-04","2018-10-07","B81133","2018-09-19 12:01:26","B81133",\N,"1"
"1","34","2018-10-16","2018-10-16","B81133","2018-09-19 12:01:26","B81133","2018-09-19 12:01:26","1"
"1","35","2018-10-17","2018-10-17","B81133","2018-09-19 12:01:26","B81133","2018-09-19 12:01:26","2"
"1","36","2018-10-18","2018-10-18","B81133","2018-09-19 12:01:26","B81133","2018-09-19 12:01:26","1"
"1","38","2018-10-19","2018-10-19","B81133","2018-09-19 12:01:27","B81133","2018-09-19 12:01:27","1"
"1","39","2018-10-20","2018-10-24","B81133","2018-09-19 12:01:27","B81133","2018-09-19 12:01:27","2"
"1","40","2018-10-25","2018-10-25","B81133","2018-09-19 12:01:27","B81133","2018-09-19 12:01:27","1"
"1","41","2018-10-26","2018-10-26","B81133","2018-09-19 12:01:27","B81133",\N,"1"
