"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2","2","A3211","2020-04-06 19:54:28","A3211","2020-04-08 18:04:41","2"
"2","1","1","A2636","2019-04-12 14:18:10","A2636",\N,"1"
"3","5","1","A3271","2020-03-02 15:09:53","A3271","2020-03-23 17:28:35","2"
"4","4","1","A3271","2020-03-02 15:09:44","A3271",\N,"1"
"5","2","1","A3211","2020-04-06 19:54:26","A3211",\N,"1"
"6","3","1","A3271","2019-05-09 16:29:56","A3271","2020-03-23 17:30:13","6"
"7","7","1","A3271","2020-03-02 15:10:15","A3271","2020-03-24 11:52:24","3"
"8","7","2","A3271","2020-03-02 15:10:17","A3271","2020-03-24 11:52:45","3"
"9","7","3","A3271","2020-03-02 15:10:19","A3271","2020-03-24 11:53:04","3"
"10","6","1","A3271","2020-03-02 15:12:53","A3271","2020-03-23 17:21:58","3"
"11","9","1","A3271","2020-03-02 15:10:03","A3271",\N,"1"
"12","10","1","A3211","2020-04-06 19:54:34","A3211",\N,"1"
"13","6","0","A3211","2020-03-06 09:11:43","A3211","2020-04-08 18:04:56","8"
