"LINE_ID","SHIFT_CALENDAR_ID","SHIFT_ID","REPETITION_TP","REPETITION_DATA","SETTING_NAME","TIMEZONE_PATTERN_ID","DISPLAY_TEXT","BACKGROUND_COLOR","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:27","A2636","2019-03-18 10:34:27","1"
"1","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:27","A2636","2019-03-18 10:34:27","1"
"1","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:27","A2636","2019-03-18 10:34:27","1"
"1","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:27","A2636","2019-03-18 10:34:27","1"
"1","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:27","A2636","2019-03-18 10:34:27","1"
"2","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:45","A2636","2019-03-18 10:34:45","1"
"2","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:45","A2636","2019-03-18 10:34:45","1"
"2","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:45","A2636","2019-03-18 10:34:45","1"
"2","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:45","A2636","2019-03-18 10:34:45","1"
"2","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-03-18 10:34:45","A2636","2019-03-18 10:34:45","1"
"3","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:13:41","A2636","2019-04-09 13:13:41","1"
"3","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:13:41","A2636","2019-04-09 13:13:41","1"
"3","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:13:41","A2636","2019-04-09 13:13:41","1"
"3","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:13:41","A2636","2019-04-09 13:13:41","1"
"3","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:13:41","A2636","2019-04-09 13:13:41","1"
"4","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:14:01","A2636","2019-04-09 13:14:01","1"
"4","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:14:01","A2636","2019-04-09 13:14:01","1"
"4","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:14:01","A2636","2019-04-09 13:14:01","1"
"4","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:14:01","A2636","2019-04-09 13:14:01","1"
"4","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:14:01","A2636","2019-04-09 13:14:01","1"
"5","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:33:51","A2636","2019-04-09 13:33:51","1"
"5","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:33:51","A2636","2019-04-09 13:33:51","1"
"5","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:33:51","A2636","2019-04-09 13:33:51","1"
"5","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:33:51","A2636","2019-04-09 13:33:51","1"
"5","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:33:51","A2636","2019-04-09 13:33:51","1"
"6","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:34:30","A2636","2019-04-09 13:34:30","1"
"6","1","1","2","9_3","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:34:30","A2636","2019-04-09 13:34:30","1"
"6","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:34:30","A2636","2019-04-09 13:34:30","1"
"6","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:34:30","A2636","2019-04-09 13:34:30","1"
"6","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2019-04-09 13:34:30","A2636","2019-04-09 13:34:30","1"
