"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"2","1","1","2017-08-24","4","ライン","帯",\N,\N,\N,\N,"0000","2300","1",\N,\N,"migration","2017-09-09 00:00:00","migration","2017-09-09 00:00:00","0","1"
"2","2",\N,"8","2","1","2017-10-18","3","プレミアムコース／面談あり（15日～31日／月～木／1枠）","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2017-09-27 17:21:31","A2062","2017-09-27 17:21:31","0","1"
"3","2",\N,"8","2","1","2017-10-18","3","プレミアムコース／面談あり（15日～31日／月～木／1枠）","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2017-09-27 17:21:31","A2062","2017-09-27 17:21:31","0","1"
"4","2",\N,"8","2","1","2017-10-17","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2017-10-05 12:46:44","CUSTUMER","2017-10-05 12:46:44","0","1"
"5","2",\N,"8","2","1","2017-10-17","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2017-10-05 12:46:44","CUSTUMER","2017-10-05 12:46:44","0","1"
"6","2",\N,"8","2","1","2017-10-24","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2064","2017-10-17 15:27:43","A2064","2017-10-17 15:27:43","0","1"
"7","2",\N,"8","2","1","2017-10-24","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2064","2017-10-17 15:27:43","A2064","2017-10-17 15:27:43","0","1"
"8","2",\N,"8","6","1","2018-02-15","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-01-12 15:15:05","CUSTUMER","2018-01-12 15:15:05","0","1"
"9","2",\N,"8","6","1","2018-02-15","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-01-12 15:15:05","CUSTUMER","2018-01-12 15:15:05","0","1"
"10","2",\N,"8","13","1","2018-02-28","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-01-14 21:56:13","A2062","2018-02-13 12:03:34","0","1"
"11","2",\N,"8","13","1","2018-02-28","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-01-14 21:56:13","A2062","2018-02-13 12:03:34","0","1"
"12","2",\N,"8","6","1","2018-02-19","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-02-11 11:44:36","A2062","2018-02-16 16:45:32","1","2"
"13","2",\N,"8","6","1","2018-02-19","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-02-11 11:44:36","A2062","2018-02-16 16:45:32","1","2"
"14","2",\N,"8","12","1","2018-02-23","5","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2018-02-13 12:05:39","A2062","2018-02-13 12:05:39","0","1"
"15","2",\N,"8","12","1","2018-02-23","5","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2018-02-13 12:05:39","A2062","2018-02-13 12:08:18","0","2"
"16","2",\N,"8","6","1","2018-02-21","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2018-02-16 16:45:32","A2062","2018-02-16 16:45:32","0","1"
"17","2",\N,"8","6","1","2018-02-21","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2018-02-16 16:45:32","A2062","2018-02-16 16:45:32","0","1"
"18","2",\N,"13","1","1","2018-02-22","4","肺がんドック／後日郵送（平日／月～金／1枠）","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-02-21 03:24:37","CUSTUMER","2018-02-21 03:24:37","0","1"
"19","2",\N,"13","1","1","2018-02-22","4","肺がんドック／後日郵送（平日／月～金／1枠）","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-02-21 03:24:37","CUSTUMER","2018-02-21 03:24:37","0","1"
"20","2",\N,"8","7","1","2018-03-28","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-02-27 13:32:33","A2064","2018-03-13 10:55:24","1","2"
"21","2",\N,"8","7","1","2018-03-28","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-02-27 13:32:33","A2064","2018-03-13 10:55:24","1","2"
"22","2",\N,"8","7","1","2018-03-15","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-03-12 15:19:15","CUSTUMER","2018-03-12 15:19:15","0","1"
"23","2",\N,"8","7","1","2018-03-15","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-03-12 15:19:16","CUSTUMER","2018-03-12 15:19:16","0","1"
"24","2",\N,"6","1","1","2018-03-28","3","健保用","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2064","2018-03-13 10:55:24","A2064","2018-03-13 10:55:24","0","1"
"25","2",\N,"6","1","1","2018-03-28","3","健保用","帯1","0",\N,"3","0","0000","2300","1","1","1","A2064","2018-03-13 10:55:24","A2064","2018-03-13 10:55:24","0","1"
"26","2",\N,"8","7","1","2018-03-29","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-03-25 00:43:18","CUSTUMER","2018-03-25 00:43:18","0","1"
"27","2",\N,"8","7","1","2018-03-29","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-03-25 00:43:19","CUSTUMER","2018-03-25 00:43:19","0","1"
"28","2",\N,"8","8","1","2018-04-16","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-03-25 09:48:02","CUSTUMER","2018-03-25 09:48:02","0","1"
"29","2",\N,"8","8","1","2018-04-16","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-03-25 09:48:02","CUSTUMER","2018-03-25 09:48:02","0","1"
"30","2",\N,"8","8","1","2018-04-25","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-04-14 00:22:51","CUSTUMER","2018-04-14 00:22:51","0","1"
"31","2",\N,"8","8","1","2018-04-25","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-04-14 00:22:51","CUSTUMER","2018-04-14 00:22:51","0","1"
