"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","8","A3271","2020-03-25 17:15:17","A3271","2020-03-25 17:17:38","2"
"2","1","7","A3271","2020-03-25 17:15:15","A3271",\N,"1"
"3","1","10","A3271","2020-03-25 17:15:20","A3271","2020-03-25 17:18:26","2"
"4","1","12","A3271","2020-03-25 17:15:23","A3271",\N,"1"
"5","1","14","A3271","2020-03-25 17:15:27","A3271","2020-03-25 17:18:09","2"
"6","1","13","A3271","2020-03-25 17:15:25","A3271",\N,"1"
"7","1","9","A3271","2020-03-25 17:15:18","A3271","2020-03-25 17:55:26","3"
"9","2","1","A3271","2020-03-25 17:30:43","A3271","2020-03-25 18:06:38","2"
"10","1","11","A3271","2020-03-25 17:15:22","A3271",\N,"1"
"11","3","1","A1589","2018-03-12 16:52:56","A1589",\N,"1"
"13","1","6","A3271","2020-03-25 17:15:13","A3271","2020-03-25 17:17:56","2"
"19","5","1","A3271","2020-03-25 17:38:14","A3271",\N,"1"
"20","6","5","A3271","2020-03-25 17:38:48","A3271","2020-03-25 17:57:14","4"
"22","4","1","A3271","2020-03-25 17:20:33","A3271","2020-03-25 17:42:14","2"
"23","1","2","A3271","2020-03-25 17:15:07","A3271","2020-03-25 17:36:01","3"
"24","1","1","A3271","2020-03-25 17:15:05","A3271","2020-03-25 17:56:16","4"
"25","4","2","A3271","2020-03-25 17:20:35","A3271","2020-03-25 17:55:06","4"
"30","6","3","A3271","2020-03-25 17:38:45","A3271",\N,"1"
"31","6","1","A3271","2020-03-25 17:38:41","A3271","2020-03-25 17:58:09","4"
"33","6","4","A3271","2020-03-25 17:38:46","A3271",\N,"1"
"34","5","0","A3271","2020-03-25 18:04:44","A3271",\N,"1"
"35","7","1","A3211","2020-03-31 14:54:08","A3211",\N,"1"
"36","8","1","A3211","2020-03-31 14:54:41","A3211",\N,"1"
