"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","5","日帰り人間ドック","日帰り人間ドック","0","0","0","0","0",\N,"7","4000","13","A2636","2018-07-09 14:40:56","A3251","2019-09-30 15:26:37","0","8"
"2","6","日帰り人間ドック+脳検査","日帰り人間ドック+脳検査","0","0","0","0","0",\N,"7","4000","13","A2636","2018-07-09 15:01:26","A3251","2019-09-30 15:26:54","0","10"
"3","7","2日ドック","2日ドック","0","0","0","0","0",\N,"7","4000","13","A2636","2018-07-09 15:24:57","A3251","2019-09-30 15:27:13","0","16"
"4","8","2日ドック+脳検査","2日ドック+脳検査","0","0","0","0","0",\N,"7","4000","13","A2636","2018-07-09 16:00:14","A3251","2019-09-30 15:27:39","0","12"
"5","9","健保コース","健保コース","0","0","0","0","0",\N,"7","6000","6","A2636","2018-07-09 16:37:19","A3212","2019-08-15 09:00:12","0","2"
"6","6","2日ドック","2日ドック","0","0","0","0","0",\N,"7","4000","13","A2636","2018-10-11 15:42:28","A2636","2018-10-30 15:23:45","1","5"
"7","3","【2019年10月1日から】2日ドック","【2019年10月1日から】2日ドック","1","0","0","0","0",\N,"7","4000","13","A3220","2019-08-08 15:22:11","A3219","2019-09-19 11:03:09","0","5"
"8","2","【2019年10月1日から】日帰り人間ドック+脳検査","【2019年10月1日から】日帰り人間ドック+脳検査","1","0","0","0","0",\N,"7","4000","13","A3220","2019-08-08 15:23:39","A3219","2019-09-19 11:02:29","0","4"
"9","9","【2019年10月1日から】2日ドック","【2019年10月1日から】2日ドック","0","0","0","0","0",\N,"7","4000","13","A3220","2019-08-08 15:24:25","A3220","2019-08-08 15:28:02","1","1"
"10","4","【2019年10月1日から】2日ドック+脳検査","【2019年10月1日から】2日ドック+脳検査","1","0","0","0","0",\N,"7","4000","13","A3220","2019-08-08 15:25:49","A3219","2019-09-19 11:03:35","0","5"
"11","1","【2019年10月1日から】日帰り人間ドック","【2019年10月1日から】日帰り人間ドック","1","0","0","0","0",\N,"7","4000","13","A3220","2019-08-08 15:29:18","A3219","2019-09-19 11:02:29","0","4"
