"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","2018-07-04","2019-05-06","A2636","2018-07-04 13:04:55","A2636","2019-05-07 12:30:35","2"
"1","47","2019-06-01","2019-07-18","A2636","2019-05-07 12:41:37","A2062","2019-07-04 15:11:31","3"
"1","48","2019-05-17","2019-05-17","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","49","2019-05-21","2019-05-21","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","50","2019-05-22","2019-05-22","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","51","2019-05-23","2019-05-23","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","52","2019-05-24","2019-05-24","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","53","2019-05-27","2019-05-27","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","54","2019-05-28","2019-05-28","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","55","2019-05-29","2019-05-29","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","56","2019-05-30","2019-05-30","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","57","2019-05-31","2019-05-31","A2636","2019-05-07 12:45:04","A2636","2019-05-07 12:45:04","1"
"1","58","2019-07-30","2019-07-30","A2062","2019-05-31 10:13:53","A2062","2019-05-31 10:13:53","1"
"1","59","2019-07-31","2020-03-31","A2062","2019-05-31 10:13:53","B84489","2020-03-27 09:35:01","2"
"1","61","2019-07-20","2019-07-29","A2062","2019-07-04 15:11:31","A2062",\N,"1"
"1","67","2019-07-19","2019-07-19","A2062","2019-07-04 15:16:13","A2062","2019-07-04 15:16:13","1"
"1","73","2020-04-04","2020-04-05","B84489","2020-03-27 09:35:01","B84489","2020-03-27 09:35:01","2"
"1","83","2020-04-11","2020-04-12","B84489","2020-03-27 09:35:01","B84489","2020-03-27 09:35:01","2"
"1","93","2020-04-18","2020-04-19","B84489","2020-03-27 09:35:01","B84489","2020-03-27 09:35:01","2"
"1","102","2020-04-24","2020-04-24","B84489","2020-03-27 09:35:01","B84489","2020-03-27 09:35:01","1"
"1","103","2020-04-25","2020-04-26","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","107","2020-04-29","2020-04-29","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","111","2020-05-02","2020-05-06","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","114","2020-05-08","2020-05-08","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","115","2020-05-09","2020-05-10","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","116","2020-05-11","2020-05-11","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","118","2020-05-12","2020-05-12","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","120","2020-05-13","2020-05-13","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","124","2020-05-15","2020-05-15","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","125","2020-05-16","2020-05-17","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","126","2020-05-18","2020-05-18","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","128","2020-05-19","2020-05-19","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","130","2020-05-20","2020-05-20","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","132","2020-05-21","2020-05-21","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","134","2020-05-22","2020-05-22","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","135","2020-05-23","2020-05-24","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","2"
"1","136","2020-05-25","2020-05-25","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","138","2020-05-26","2020-05-26","B84489","2020-03-27 09:35:02","B84489","2020-03-27 09:35:02","1"
"1","140","2020-05-27","2020-05-27","B84489","2020-03-27 09:35:03","B84489","2020-03-27 09:35:03","1"
"1","142","2020-05-28","2020-05-28","B84489","2020-03-27 09:35:03","B84489","2020-03-27 09:35:03","1"
"1","144","2020-05-29","2020-05-29","B84489","2020-03-27 09:35:03","B84489","2020-03-27 09:35:03","1"
"1","145","2020-05-30",\N,"B84489","2020-03-27 09:35:03","B84489",\N,"1"
"1","146","2020-04-03","2020-04-03","B84489","2020-03-27 09:38:50","B84489","2020-03-27 09:38:50","1"
"1","147","2020-04-06","2020-04-06","B84489","2020-03-27 09:38:50","B84489","2020-03-27 09:38:50","1"
"1","148","2020-04-08","2020-04-08","B84489","2020-03-27 09:38:50","B84489","2020-03-27 09:38:50","1"
"1","149","2020-04-30","2020-04-30","B84489","2020-03-27 09:38:50","B84489","2020-03-27 09:38:50","1"
"1","150","2020-05-01","2020-05-01","B84489","2020-03-27 09:38:50","B84489","2020-03-27 09:38:50","1"
"1","151","2020-04-01","2020-04-01","B84489","2020-03-27 09:40:55","B84489","2020-03-27 09:40:55","1"
"1","152","2020-04-02","2020-04-02","B84489","2020-03-27 09:40:55","B84489","2020-03-27 09:40:55","1"
"1","153","2020-04-07","2020-04-07","B84489","2020-03-27 09:40:55","B84489","2020-03-27 09:40:55","1"
"1","154","2020-04-09","2020-04-09","B84489","2020-03-27 09:40:55","B84489","2020-03-27 09:40:55","1"
"1","155","2020-04-10","2020-04-10","B84489","2020-03-27 09:40:55","B84489","2020-03-27 09:40:55","1"
"1","156","2020-04-14","2020-04-14","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","157","2020-04-16","2020-04-16","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","158","2020-04-21","2020-04-21","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","159","2020-04-22","2020-04-22","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","160","2020-04-23","2020-04-23","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","161","2020-05-07","2020-05-07","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","162","2020-05-14","2020-05-14","B84489","2020-03-27 10:46:50","B84489","2020-03-27 10:46:50","1"
"1","163","2020-04-15","2020-04-15","B84489","2020-03-27 10:50:55","B84489","2020-03-27 10:50:55","1"
"1","164","2020-04-13","2020-04-13","B84489","2020-04-01 12:03:30","B84489","2020-04-01 12:03:30","1"
"1","165","2020-04-17","2020-04-17","B84489","2020-04-01 12:03:31","B84489","2020-04-01 12:03:31","1"
"1","166","2020-04-20","2020-04-20","B84489","2020-04-01 12:03:31","B84489","2020-04-01 12:03:31","1"
"1","167","2020-04-27","2020-04-27","B84489","2020-04-01 12:03:31","B84489","2020-04-01 12:03:31","1"
"1","168","2020-04-28","2020-04-28","B84489","2020-04-01 12:03:31","B84489","2020-04-01 12:03:31","1"
"2","1","2018-07-04",\N,"A2636","2018-07-04 13:05:20","A2636","2018-07-04 13:05:20","1"
"3","1","2019-05-23","2019-05-23","A2636","2019-05-07 12:46:23","A2636","2019-05-07 12:46:23","1"
"3","2","2019-05-24","2019-05-24","A2636","2019-05-07 12:46:23","A2636","2019-05-07 12:46:23","1"
"3","3","2019-05-27","2019-05-27","A2636","2019-05-07 12:46:23","A2636","2019-05-07 12:46:23","1"
"3","4","2019-05-28","2019-05-28","A2636","2019-05-07 12:46:23","A2636","2019-05-07 12:46:23","1"
