"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"3","2","1","2019-07-05","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A1589","2019-07-04 10:28:09","A1589","2019-07-04 10:28:09","0","1"
"2","2",\N,"3","2","1","2019-07-05","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","A1589","2019-07-04 10:28:09","A1589","2019-07-04 10:28:09","0","1"
"3","2",\N,"2","9","1","2019-07-20","6","カレンダー2","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-07-13 22:40:10","CUSTUMER","2019-07-13 22:40:10","0","1"
"4","2",\N,"2","9","1","2019-07-20","6","カレンダー2","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-07-13 22:40:10","CUSTUMER","2019-07-13 22:40:10","0","1"
"5","2",\N,"3","1","1","2019-08-07","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-07-15 13:59:11","CUSTUMER","2019-07-15 13:59:11","0","1"
"6","2",\N,"3","1","1","2019-08-07","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-07-15 13:59:11","CUSTUMER","2019-07-15 13:59:11","0","1"
"7","2",\N,"3","2","1","2019-07-26","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-07-18 20:01:49","CUSTUMER","2019-07-18 20:01:49","0","1"
"8","2",\N,"3","2","1","2019-07-26","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-07-18 20:01:49","CUSTUMER","2019-07-18 20:01:49","0","1"
"9","2",\N,"3","5","1","2019-08-30","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-07-31 13:25:45","A3179","2019-08-08 16:50:39","0","1"
"10","2",\N,"3","5","1","2019-08-30","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-07-31 13:25:45","A3179","2019-08-08 16:50:39","0","1"
"11","2",\N,"3","3","1","2019-08-17","6","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-05 12:40:53","A3179","2019-08-08 16:50:39","0","1"
"12","2",\N,"3","3","1","2019-08-17","6","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-08-05 12:40:53","A3179","2019-08-08 16:50:39","0","1"
"13","2",\N,"3","1","1","2019-08-13","2","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-06 21:18:34","CUSTUMER","2019-08-06 21:18:34","0","1"
"14","2",\N,"3","1","1","2019-08-13","2","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-08-06 21:18:34","CUSTUMER","2019-08-06 21:18:34","0","1"
"15","2",\N,"1","17","1","2019-09-09","1","カレンダー1","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-08 12:55:44","CUSTUMER","2019-08-08 12:55:44","0","1"
"16","2",\N,"1","17","1","2019-09-09","1","カレンダー1","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-08-08 12:55:44","CUSTUMER","2019-08-08 12:55:44","0","1"
"17","2",\N,"3","3","1","2019-08-17","6","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","2","A3179","2019-08-08 16:51:57","A3179","2019-08-08 16:51:57","0","1"
"18","2",\N,"3","5","1","2019-08-30","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","2","CUSTUMER","2019-08-22 14:04:40","CUSTUMER","2019-08-22 14:04:40","0","1"
"19","2",\N,"3","5","1","2019-09-02","1","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-26 00:35:47","CUSTUMER","2019-08-26 00:35:47","0","1"
"20","2",\N,"3","5","1","2019-09-02","1","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-08-26 00:35:47","CUSTUMER","2019-08-26 00:35:47","0","1"
"21","2",\N,"3","5","1","2019-09-13","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-27 13:26:54","CUSTUMER","2019-08-27 13:26:54","0","1"
"22","2",\N,"3","5","1","2019-09-13","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-08-27 13:26:54","CUSTUMER","2019-08-27 13:26:54","0","1"
"23","2",\N,"3","4","1","2019-09-04","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-08-28 13:47:15","CUSTUMER","2019-08-28 13:47:15","0","1"
"24","2",\N,"3","4","1","2019-09-04","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-08-28 13:47:15","CUSTUMER","2019-08-28 13:47:15","0","1"
"25","2",\N,"3","5","1","2019-10-18","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-10-03 12:03:53","A3213","2019-10-08 14:01:54","1","2"
"26","2",\N,"3","5","1","2019-10-18","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-10-03 12:03:53","A3213","2019-10-08 14:01:54","1","2"
