"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
75754,30,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,31,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,32,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,33,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,36,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,37,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,38,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,150,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
75754,203,system,2017-09-19 23:21:50,system,2017-09-19 23:21:50,1
81121,30,B75754,2018-01-11 11:22:45,B75754,2018-01-11 11:22:45,1
81121,32,B75754,2018-01-11 11:22:45,B75754,2018-01-11 11:22:45,1
81121,33,B75754,2018-01-11 11:22:45,B75754,2018-01-11 11:22:45,1
81121,36,B75754,2018-01-11 11:22:45,B75754,2018-01-11 11:22:45,1
81121,203,B75754,2018-01-11 11:22:45,B75754,2018-01-11 11:22:45,1
