"APPOINT_ID","TRADE_ID","ORDER_ID","CARD_PAYMENT_AMOUNT","PAYMENT_METHOD","CASHPO_USED_AMOUNT","AMOUNT_UNSETTLED","PAYMENT_STATUS","FINALIZE_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"2","5b725aec9d60920180814133036","201049764","0","1","0","0","1",\N,\N,"2018-08-14 13:33:06",\N,\N,"1"
"18","5b7a45b55b54820180820133813","201049918","80","1","50","0","3",\N,\N,"2018-08-20 13:48:34","B7405","2018-09-06 16:58:05","8"
"19","5b7a49796e2f820180820135417","201049919","100","1","50","50","1","2018-08-22 18:30:10",\N,"2018-08-20 13:55:19","OP200","2018-08-22 18:30:10","6"
"30","5b7bd78c725f420180821181244",\N,"0","1","50","0","1",\N,\N,"2018-08-21 18:13:45","B7405","2018-08-21 18:24:04","4"
"32","5b7bdb32ca1d420180821182818",\N,"0","1","50","0","3",\N,\N,"2018-08-21 18:28:46","B7405","2018-08-21 18:36:09","5"
"33","5b7bdc8c7224a20180821183404",\N,"0","1","30","0","1",\N,\N,"2018-08-21 18:34:36","B7405","2018-08-21 18:38:54","4"
"34","5b7bde42e80c520180821184122","201050064","60","1","50","7","3",\N,\N,"2018-08-21 18:41:54","B7405","2018-08-23 17:46:31","11"
"35","5b7bdf78b643320180821184632",\N,"0","1","47","0","1",\N,\N,"2018-08-21 18:47:14","B7405","2018-08-23 18:15:31","4"
"36","5b7be1b3d868620180821185603",\N,"0","1","5","0","2","2018-09-17 11:00:06",\N,"2018-08-21 18:56:40","OP200","2018-09-17 11:00:06","19"
"37","5b7be3566566c20180821190302",\N,"0","1","29","0","3",\N,\N,"2018-08-21 19:03:22","B7405","2018-08-22 15:43:55","5"
"39","5b7cea4539fae20180822134453","201050105","84403","1","0","0","2","2018-08-22 13:55:51",\N,"2018-08-22 13:45:21","OP200","2018-08-22 13:55:51","2"
"41","5ba46d945f9c020180921130332","201050118","200","1","0","0","3",\N,\N,"2018-08-22 15:06:13","B7405","2018-09-06 16:56:38","2"
"48","5b7fbd527568220180824170954","201050261","50","1","50","0","3",\N,\N,"2018-08-24 17:10:12","B7405","2018-08-24 17:11:34","2"
"49","5b7fbdf359e0020180824171235","201050264","150","1","50","0","3",\N,\N,"2018-08-24 17:13:05","B7405","2018-08-24 17:30:13","2"
"50","5b7fc24e0147b20180824173110","201050273","100","1","50","0","1",\N,\N,"2018-08-24 17:31:31",\N,\N,"1"
"51","5b837906e5a1020180827130734","201050335","150","1","0","49850","3",\N,\N,"2018-08-27 13:09:34","B7405","2018-09-06 16:58:16","4"
"57","5b83b3bc1846f20180827171804","201050394","9","1","0","0","3",\N,\N,"2018-08-27 17:18:38","B7405","2018-09-06 16:59:16","2"
"59","5b84a3bc75c2220180828102204","201050421","9","1","0","0","3",\N,\N,"2018-08-28 10:22:27","B7405","2018-08-28 10:22:58","2"
"70","5b8e21c45761120180904151012","201050796","84331","1","69","0","3",\N,\N,"2018-09-04 15:12:41","B7405","2018-09-04 15:16:17","3"
"71","5b8e23708329320180904151720","201050797","84403","1","0","0","3",\N,\N,"2018-09-04 15:18:10","B7405","2018-09-04 15:18:58","2"
"72","5b8e243e8454520180904152046","201050798","84403","1","0","0","3",\N,\N,"2018-09-04 15:21:03","B7405","2018-09-04 15:25:39","2"
"76","5b8e25c74363b20180904152719","201050799","84403","1","0","0","3",\N,\N,"2018-09-04 15:27:37","B7405","2018-09-04 15:28:07","2"
"77","5b8e2637639dd20180904152911","201050800","84403","1","0","0","3",\N,\N,"2018-09-04 15:29:28","B7405","2018-09-04 15:30:55","2"
"81","5b8e2b40ab11720180904155040","201050805","84000","1","0","0","3",\N,\N,"2018-09-04 15:51:03","B7405","2018-09-05 19:59:28","3"
"87","5b90deee24b4120180906170150","201050951","1960","1","0","0","3",\N,\N,"2018-09-06 17:02:12","CUSTUMER","2018-09-06 17:04:32","2"
"91","5be3a2ce8207220181108114326","201053641","1720","1","940","0","1",\N,\N,"2018-11-08 11:43:57","B7405","2018-11-19 15:30:50","5"
