"LINEGROUP_ID","SEQ_NO","LINEGROUP_NAME","LINEGROUP_NAME_SHORT","OUTSIDE_RESERVATION","DO_NOT_SPECIFY_LINE_FG","LINEGROUP_TYPE","VACCINE_FG","RABIES_FG","SAME_TIME_LIMIT","LINEGROUP_CANCELLATION_DAYS","LINEGROUP_START_DAYS","LINEGROUP_END_DAYS","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"20248","1","人間ドッグ基本コース","人間ドッグ基本コース","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2062","2017-09-06 14:49:04","0","5"
"20249","3","レディースドック（マンモグラフィ＋子宮がん検査）","レディースドック（マンモグラフィ＋子宮がん検査）","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2064","2017-11-08 10:07:48","0","13"
"21584","11","≪ペア≫人間ドック＋肺ドック＋脳ドック","≪ペア≫人間ドック＋肺ドック＋脳ドック","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2064","2017-11-08 11:10:24","0","16"
"21585","6","レディースドッグ（乳腺エコー）＋脳ドック","レディースドッグ（乳腺エコー）＋脳ドック","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2064","2017-11-08 10:21:20","0","12"
"21586","7","メンズドックドッグ（前立腺がん検査付）＋脳ドック","メンズドックドッグ（前立腺がん検査付）＋脳ドック","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2064","2017-11-08 10:26:05","0","10"
"21587","2","脳ドック基本コース（半日）","脳ドック基本コース（半日）","1","0","0","0","0",\N,"7","6000","6","system","2017-08-18 12:13:16","A2064","2017-11-08 10:07:48","0","8"
"21588","12","健保コース","健保コース","0","0","0","0","0",\N,"7",\N,\N,"A2062","2017-09-07 18:07:19","A2064","2017-11-17 15:37:23","0","6"
"21589","4","レディースドック（乳腺エコー＋子宮がん検査）","レディースドック（乳腺エコー＋子宮がん検査）","1","0","0","0","0",\N,"7","6000","6","A2064","2017-11-08 10:04:46","A2064","2017-11-08 10:07:48","0","2"
"21590","5","レディースドッグ（マンモグラフィ）＋脳ドック","レディースドッグ（マンモグラフィ）＋脳ドック","1","0","0","0","0",\N,"7","6000","6","A2064","2017-11-08 10:17:31","A2064","2017-11-08 10:22:55","0","3"
"21591","8","≪ペア≫人間ドック","≪ペア≫人間ドック","1","0","0","0","0",\N,"7","6000","6","A2064","2017-11-08 10:46:49","A2064","2017-11-08 10:47:09","0","2"
"21592","9","≪ペア≫人間ドック＋肺ドック","≪ペア≫人間ドック＋肺ドック","1","0","0","0","0",\N,"7","6000","6","A2064","2017-11-08 10:56:00","A2064","2017-11-08 11:03:07","0","3"
"21593","10","≪ペア≫人間ドック＋脳ドック","≪ペア≫人間ドック＋脳ドック","1","0","0","0","0",\N,"7","6000","6","A2064","2017-11-08 10:58:36","A2064","2017-11-08 11:03:07","0","3"
